"year","quarter","dpi_pc","pop1000s","presvote","wtq16","kia_permil","cumkia_permil","qcount","tenure_yrs","real_family_income_top5pct","rep_inc","preselectq","cpi_u_8284","qdates","tforchange","Bartels2008","Fair1992","Abramowitz2001","DPER1984","kia_afghan","pct_approve_june","pct_disapprove_june","electyr","G","P","Z","q2gdpchg","POP2PVOT","jobhousu","julypop","GNPxELEC","elecpres","closeinc","Fatalities"
"1",1949,1,1284,148298,NA,0.333333343267441,0,0,9,NA,63761.73,0,0,23.9433326721191,-44,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2",1949,2,1275,148891,NA,0.333333343267441,0,0,10,NA,63761.73,0,0,23.9166660308838,-43,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3",1949,3,1269,149529,NA,0.333333343267441,0,0,11,NA,63761.73,0,0,23.716667175293,-42,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4",1949,4,1272,150211,NA,0.333333343267441,0,0,12,NA,63761.73,0,0,23.6599998474121,-41,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5",1950,1,1358,150852,NA,0.333333343267441,0,0,13,NA,67260.8148148148,0,0,23.5866661071777,-40,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"6",1950,2,1352,151385,NA,0.333333343267441,0,0,14,NA,67260.8148148148,0,0,23.7666664123535,-39,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7",1950,3,1396,152039,NA,0.333333343267441,63.2929725646973,0,15,NA,67260.8148148148,0,0,24.203332901001,-38,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",1950,4,1427,152724,NA,0.333333343267441,17.3450145721436,0,16,NA,67260.8148148148,0,0,24.6933326721191,-37,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"9",1951,1,1468,153336,NA,0.333333343267441,26.6147537231445,0,17,NA,65215.3455377574,0,0,25.6966667175293,-36,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10",1951,2,1497,153947,NA,0.333333343267441,22.6701393127441,0,18,NA,65215.3455377574,0,0,25.9466667175293,-35,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"11",1951,3,1501,154655,NA,0.333333343267441,18.2987937927246,0,19,NA,65215.3455377574,0,0,25.9333324432373,-34,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12",1951,4,1517,155389,NA,0.333333343267441,20.5677356719971,0,20,NA,65215.3455377574,0,0,26.3166675567627,-33,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13",1952,1,1516,156033,NA,0.333333343267441,3.35185503959656,0,21,NA,67183.6179775281,0,0,26.4166660308838,-32,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14",1952,2,1529,156644,NA,0.333333343267441,6.22430467605591,0,22,NA,67183.6179775281,0,0,26.486665725708,-31,NA,NA,NA,NA,0,0,31.5,58.5,1,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,0
"15",1952,3,1562,157324,NA,0.333333343267441,8.86069488525391,0,23,NA,67183.6179775281,0,0,26.6666660308838,-30,NA,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"16",1952,4,1589,158043,44.7098121643066,0.333333343267441,9.5670166015625,196.793273925781,24,20,67183.6179775281,0,1,26.6966667175293,-29,1,20,1.75,1,0,0,NA,NA,1,0.726000010967255,2.34899997711182,7,NA,44.5951902826076,7.97011648904153,32,0.035,0.5,0,190.415267944336
"17",1953,1,1610,158648,NA,0.333333343267441,5.11824941635132,0,25,NA,72006.0803571429,1,0,26.6200008392334,-28,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18",1953,2,1629,159234,NA,0.333333343267441,7.65540027618408,0,26,NA,72006.0803571429,1,0,26.7199993133545,-27,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19",1953,3,1624,159963,NA,0.333333343267441,5.76383304595947,0,27,NA,72006.0803571429,1,0,26.843334197998,-26,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20",1953,4,1613,160713,NA,0.333333343267441,1.53067886829376,0,28,NA,72006.0803571429,1,0,26.8899993896484,-25,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"21",1954,1,1623,161389,NA,0.333333343267441,0.941823780536652,0,29,NA,72767.9734513274,1,0,26.953332901001,-24,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22",1954,2,1616,162044,NA,0.333333343267441,0.166621416807175,0,30,NA,72767.9734513274,1,0,26.9099998474121,-23,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23",1954,3,1621,162792,NA,0.333333343267441,0,0,31,NA,72767.9734513274,1,0,26.8400001525879,-22,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"24",1954,4,1644,163585,NA,0.333333343267441,0,0,32,NA,72767.9734513274,1,0,26.7566661834717,-21,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"25",1955,1,1666,164266,NA,0.333333343267441,0,0,33,NA,74517.8,1,0,26.7933330535889,-20,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"26",1955,2,1701,164926,NA,0.333333343267441,0,0,34,NA,74517.8,1,0,26.7566661834717,-19,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"27",1955,3,1733,165674,NA,0.333333343267441,0,0,35,NA,74517.8,1,0,26.7766666412354,-18,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
