"","year","inc1415","incm","tenure","rdpic","incumb","sincumb"
"1",1948,4.67000007629395,4.48000001907349,16,3.5699999332428,1,0.5
"2",1952,2.42000007629395,-10.8500003814697,20,1.49000000953674,0,0
"3",1956,0.540000021457672,15.3999996185303,4,3.02999997138977,1,1
"4",1960,-0.150000005960464,-0.170000001788139,8,0.569999992847443,0,0
"5",1964,3.34999990463257,22.5799999237061,4,5.73999977111816,1,0.5
"6",1968,1.36000001430511,-0.699999988079071,8,3.50999999046326,0,0
"7",1972,2.49000000953674,23.1499996185303,4,3.73000001907349,1,1
"8",1976,1.25999999046326,-2.05999994277954,8,2.98000001907349,1,0.5
"9",1980,-0.959999978542328,-9.73999977111816,4,-0.170000001788139,1,1
"10",1984,2.84999990463257,18.2099990844727,4,6.23000001907349,1,1
"11",1988,1.24000000953674,7.71999979019165,8,3.36999988555908,0,0
"12",1992,0.569999992847443,-5.55999994277954,12,2.15000009536743,1,1
"13",1996,1.32000005245209,8.51000022888184,4,2.09999990463257,1,1
"14",2000,1.57000005245209,0.509999990463257,8,3.94000005722046,0,0
"15",2004,1.19000005722046,2.46000003814697,4,2.49000000953674,1,1
"16",2008,-0.790000021457672,-7.26999998092651,8,1.47000002861023,0,0
"17",2012,0.319999992847443,3.83999991416931,4,1.10000002384186,1,1
