"PM","time"
174.7,2013-01-06 12:00:00
150.3,2013-01-07 00:00:00
203,2013-01-07 12:00:00
118.8,2013-01-08 00:00:00
25.2,2013-01-08 12:00:00
78.5,2013-01-09 00:00:00
135.5,2013-01-09 12:00:00
248.2,2013-01-10 00:00:00
379,2013-01-10 12:00:00
361.2,2013-01-11 00:00:00
333.2,2013-01-11 12:00:00
568.5,2013-01-12 00:00:00
630.6,2013-01-12 12:00:00
416.2,2013-01-13 00:00:00
343.4,2013-01-13 12:00:00
299.5,2013-01-14 00:00:00
157.3,2013-01-14 12:00:00
114.9,2013-01-15 00:00:00
145.3,2013-01-15 12:00:00
112.2,2013-01-16 00:00:00
63,2013-01-16 12:00:00
75.7,2013-01-17 00:00:00
276.8,2013-01-18 00:00:00
333.6,2013-01-18 12:00:00
189.4,2013-01-19 00:00:00
89.9,2013-01-19 12:00:00
107.2,2013-01-20 00:00:00
198.8,2013-01-22 00:00:00
379.3,2013-01-22 12:00:00
378,2013-01-23 00:00:00
180.2,2013-01-23 12:00:00
19.4,2013-01-24 00:00:00
34.7,2013-01-24 12:00:00
73.9,2013-01-25 00:00:00
121.5,2013-01-25 12:00:00
161.3,2013-01-26 00:00:00
244.2,2013-01-26 12:00:00
312.9,2013-01-27 00:00:00
338,2013-01-27 12:00:00
406.3,2013-01-28 00:00:00
461.9,2013-01-28 12:00:00
433.1,2013-01-29 00:00:00
340.5,2013-01-29 12:00:00
277.9,2013-01-30 00:00:00
97.4,2013-01-31 12:00:00
34.5,2013-02-01 00:00:00
22.6,2013-02-01 12:00:00
49,2013-02-02 00:00:00
113.3,2013-02-02 12:00:00
188.8,2013-02-03 00:00:00
131.6,2013-02-03 12:00:00
37.5,2013-02-04 00:00:00
52.1,2013-02-04 12:00:00
147.9,2013-02-05 12:00:00
93.7,2013-02-06 00:00:00
8.8,2013-02-06 12:00:00
12.6,2013-02-07 00:00:00
16.1,2013-02-07 12:00:00
60.3,2013-02-08 00:00:00
130.6,2013-02-08 12:00:00
188.5,2013-02-09 00:00:00
153.5,2013-02-09 12:00:00
59.8,2013-02-10 00:00:00
32.6,2013-02-10 12:00:00
65.2,2013-02-11 00:00:00
100.7,2013-02-11 12:00:00
215.5,2013-02-12 12:00:00
315,2013-02-13 00:00:00
211.2,2013-02-13 12:00:00
70.3,2013-02-14 00:00:00
40.3,2013-02-14 12:00:00
40.5,2013-02-15 00:00:00
80.8,2013-02-15 12:00:00
145.3,2013-02-16 00:00:00
213,2013-02-16 12:00:00
124,2013-02-17 00:00:00
14.7,2013-02-17 12:00:00
22.3,2013-02-18 00:00:00
21.1,2013-02-18 12:00:00
32.9,2013-02-19 00:00:00
83.4,2013-02-20 00:00:00
109.1,2013-02-20 12:00:00
212.6,2013-02-21 00:00:00
206.7,2013-02-21 12:00:00
85,2013-02-22 00:00:00
56.1,2013-02-22 12:00:00
149,2013-02-23 00:00:00
266.1,2013-02-23 12:00:00
332.8,2013-02-24 00:00:00
261.2,2013-02-24 12:00:00
159.4,2013-02-25 00:00:00
153,2013-02-25 12:00:00
216.4,2013-02-26 00:00:00
294.2,2013-02-26 12:00:00
245.7,2013-02-27 00:00:00
294.8,2013-02-27 12:00:00
18,2013-02-28 12:00:00
10.5,2013-03-01 00:00:00
14,2013-03-01 12:00:00
48.8,2013-03-02 00:00:00
103.7,2013-03-02 12:00:00
101,2013-03-03 00:00:00
45.2,2013-03-03 12:00:00
85.8,2013-03-04 12:00:00
183.4,2013-03-05 00:00:00
218,2013-03-05 12:00:00
315.2,2013-03-07 12:00:00
222.1,2013-03-08 00:00:00
125.9,2013-03-08 12:00:00
21.9,2013-03-09 12:00:00
42.1,2013-03-10 00:00:00
126.5,2013-03-11 00:00:00
54.4,2013-03-13 12:00:00
112.8,2013-03-14 00:00:00
170.4,2013-03-14 12:00:00
256.5,2013-03-15 00:00:00
311.4,2013-03-15 12:00:00
265.2,2013-03-16 00:00:00
260.4,2013-03-17 12:00:00
59.6,2013-03-19 12:00:00
64.9,2013-03-20 00:00:00
97.5,2013-03-20 12:00:00
157.6,2013-03-21 00:00:00
64.5,2013-03-22 00:00:00
55.1,2013-03-23 00:00:00
67.9,2013-03-24 12:00:00
113.6,2013-03-25 00:00:00
153.7,2013-03-25 12:00:00
196.5,2013-03-26 00:00:00
92.7,2013-03-27 00:00:00
18.4,2013-03-27 12:00:00
37,2013-03-28 00:00:00
80.9,2013-03-28 12:00:00
95.9,2013-03-29 00:00:00
88.9,2013-03-29 12:00:00
94.5,2013-03-30 00:00:00
126.2,2013-03-30 12:00:00
200.4,2013-03-31 00:00:00
207.3,2013-03-31 12:00:00
95.6,2013-04-01 00:00:00
64.9,2013-04-01 12:00:00
116.7,2013-04-02 00:00:00
144.6,2013-04-02 12:00:00
123.4,2013-04-03 00:00:00
75.2,2013-04-03 12:00:00
83.2,2013-04-04 00:00:00
102.7,2013-04-04 12:00:00
59.7,2013-04-05 00:00:00
13,2013-04-05 12:00:00
19.8,2013-04-06 00:00:00
60.3,2013-04-07 12:00:00
19.9,2013-04-08 00:00:00
14.8,2013-04-08 12:00:00
14.3,2013-04-09 00:00:00
14.6,2013-04-09 12:00:00
18.5,2013-04-10 12:00:00
21.1,2013-04-11 00:00:00
39.2,2013-04-11 12:00:00
56.5,2013-04-12 00:00:00
81.6,2013-04-12 12:00:00
61.5,2013-04-13 00:00:00
61.6,2013-04-14 12:00:00
71.7,2013-04-15 00:00:00
69.2,2013-04-15 12:00:00
48.2,2013-04-16 12:00:00
47.5,2013-04-17 00:00:00
32,2013-04-17 12:00:00
12.1,2013-04-18 00:00:00
75.5,2013-04-20 00:00:00
133,2013-04-21 12:00:00
