"Period","Internet Explorer","Chrome","Firefox","Safari","Opera"
"01 May 2013",0.2914,0.3839,0.2119,0.0986,0.0113
"01 April 2013",0.3057,0.3712,0.2136,0.0948,0.0122
"01 March 2013",0.3192,0.3583,0.2129,0.0952,0.0121
"01 February 2013",0.331,0.3457,0.214,0.0951,0.0121
"01 January 2013",0.3567,0.3279,0.2079,0.0941,0.0116
"01 December 2012",0.3465,0.3268,0.2159,0.0958,0.0131
"01 November 2012",0.3383,0.3233,0.2218,0.1017,0.0131
"01 October 2012",0.3462,0.3147,0.2225,0.1028,0.0121
"01 September 2012",0.3481,0.3065,0.2263,0.1054,0.0122
"01 August 2012",0.3635,0.2984,0.2264,0.0978,0.0123
"01 July 2012",0.3577,0.2987,0.2361,0.0918,0.0143
"01 June 2012",0.3602,0.2907,0.2417,0.0901,0.016
"01 May 2012",0.3574,0.2844,0.2484,0.0907,0.0155
"01 April 2012",0.3681,0.278,0.2469,0.0911,0.0149
"01 March 2012",0.3746,0.2726,0.2453,0.0928,0.0137
"01 February 2012",0.3772,0.267,0.2464,0.0945,0.014
"01 January 2012",0.3859,0.2575,0.2474,0.0955,0.0128
"01 December 2011",0.3996,0.2452,0.2498,0.0917,0.0128
"01 November 2011",0.4041,0.2385,0.2514,0.0927,0.0124
"01 October 2011",0.4057,0.2298,0.256,0.0949,0.0127
"01 September 2011",0.4126,0.2176,0.2632,0.0933,0.0126
"01 August 2011",0.4191,0.2088,0.2691,0.0901,0.0122
"01 July 2011",0.4206,0.2025,0.2735,0.0907,0.012
"01 June 2011",0.4298,0.1922,0.2748,0.0905,0.0118
"01 May 2011",0.4345,0.1836,0.2787,0.0904,0.0118
"01 April 2011",0.4421,0.1721,0.2808,0.0917,0.0122
"01 March 2011",0.4491,0.163,0.2826,0.0918,0.0124
"01 February 2011",0.4499,0.1603,0.2861,0.0892,0.0133
"01 January 2011",0.46,0.1525,0.2874,0.0862,0.0127
"01 December 2010",0.4731,0.1413,0.2875,0.0834,0.0134
"01 November 2010",0.4774,0.1303,0.2891,0.0897,0.0122
"01 October 2010",0.4776,0.1269,0.2967,0.0846,0.0126
"01 September 2010",0.4837,0.1182,0.2997,0.0843,0.0124
"01 August 2010",0.4823,0.1124,0.3082,0.0824,0.0131
"01 July 2010",0.4926,0.1053,0.3088,0.0789,0.0126
"01 June 2010",0.4944,0.103,0.3116,0.0764,0.0126
"01 May 2010",0.4903,0.0953,0.3212,0.0773,0.0135
"01 April 2010",0.489,0.0894,0.3273,0.0782,0.0139
"01 March 2010",0.4991,0.0822,0.3237,0.0789,0.014
"01 February 2010",0.4992,0.0754,0.3281,0.0809,0.0141
"01 January 2010",0.5073,0.0685,0.3289,0.0779,0.0151
"01 December 2009",0.5087,0.0617,0.3343,0.077,0.0158
"01 November 2009",0.5221,0.0516,0.3297,0.078,0.0155
"01 October 2009",0.531,0.0466,0.3271,0.077,0.0146
"01 September 2009",0.5458,0.0425,0.3196,0.0744,0.0134
