"Date","Internet Explorer","Chrome","Firefox","Safari","Opera"
"01 April 2013",0.2971,0.3915,0.2006,0.08,0.0101
"01 March 2013",0.293,0.3807,0.2087,0.086,0.0117
"01 February 2013",0.2982,0.3709,0.2134,0.086,0.0122
"01 January 2013",0.3071,0.3652,0.2142,0.0829,0.0119
"01 December 2012",0.3078,0.3642,0.2189,0.0792,0.0126
"01 November 2012",0.3123,0.3572,0.2237,0.0783,0.0139
"01 October 2012",0.3208,0.3477,0.2232,0.0781,0.0163
"01 September 2012",0.327,0.3421,0.224,0.077,0.0161
"01 August 2012",0.3285,0.3359,0.2285,0.0739,0.0163
"01 July 2012",0.3204,0.3381,0.2373,0.0712,0.0172
"01 June 2012",0.3231,0.3276,0.2456,0.07,0.0177
"01 May 2012",0.3212,0.3243,0.2555,0.0709,0.0177
"01 April 2012",0.3407,0.3123,0.2487,0.0713,0.0172
"01 March 2012",0.3481,0.3087,0.2498,0.0672,0.0178
"01 February 2012",0.3575,0.2984,0.2488,0.0677,0.0202
"01 January 2012",0.3745,0.284,0.2478,0.0662,0.0195
"01 December 2011",0.3865,0.2727,0.2527,0.0608,0.0198
"01 November 2011",0.4063,0.2569,0.2523,0.0592,0.0182
"01 October 2011",0.4018,0.25,0.2639,0.0593,0.0181
"01 September 2011",0.4166,0.2361,0.2679,0.056,0.0172
"01 August 2011",0.4189,0.2316,0.2749,0.0519,0.0167
"01 July 2011",0.4245,0.2214,0.2795,0.0517,0.0166
"01 June 2011",0.4358,0.2065,0.2834,0.0507,0.0174
"01 May 2011",0.4387,0.1936,0.2929,0.0501,0.0184
"01 April 2011",0.4452,0.1829,0.2967,0.0504,0.0191
"01 March 2011",0.4511,0.1737,0.2998,0.0502,0.0197
"01 February 2011",0.4544,0.1654,0.3037,0.0508,0.02
"01 January 2011",0.46,0.1568,0.3068,0.0509,0.02
"01 December 2010",0.4694,0.1485,0.3076,0.0479,0.0207
"01 November 2010",0.4816,0.1335,0.3117,0.047,0.0201
"01 October 2010",0.4921,0.1239,0.3124,0.0456,0.02
"01 September 2010",0.4987,0.1154,0.315,0.0442,0.0203
"01 August 2010",0.5134,0.1076,0.3109,0.0423,0.0188
"01 July 2010",0.5268,0.0988,0.3069,0.0409,0.0191
"01 June 2010",0.5286,0.0924,0.3115,0.0407,0.0191
"01 May 2010",0.5277,0.0861,0.3164,0.0414,0.0196
"01 April 2010",0.5326,0.0806,0.3174,0.0423,0.0182
"01 March 2010",0.5444,0.0729,0.3127,0.0416,0.0197
"01 February 2010",0.545,0.0672,0.3182,0.0408,0.0197
"01 January 2010",0.5525,0.0604,0.3164,0.0376,0.02
"01 December 2009",0.5572,0.0545,0.3197,0.0348,0.0206
"01 November 2009",0.5657,0.0466,0.3221,0.0367,0.0202
"01 October 2009",0.5796,0.0417,0.3182,0.0347,0.0188
"01 September 2009",0.5837,0.0369,0.3134,0.0328,0.0262
"01 August 2009",0.5869,0.0338,0.3128,0.0325,0.0267
"01 July 2009",0.6011,0.0301,0.305,0.0302,0.0264
"01 June 2009",0.5949,0.028,0.3026,0.0291,0.0346
"01 May 2009",0.6209,0.0242,0.2875,0.0265,0.0323
"01 April 2009",0.6188,0.0207,0.2967,0.0275,0.0296
"01 March 2009",0.6252,0.0173,0.294,0.0273,0.0294
"01 February 2009",0.6443,0.0152,0.2785,0.0259,0.0295
"01 January 2009",0.6541,0.0138,0.2703,0.0257,0.0292
"01 December 2008",0.6784,0.0121,0.2523,0.0241,0.0283
"01 November 2008",0.6814,0.0093,0.2527,0.0249,0.0301
"01 October 2008",0.6768,0.0102,0.2554,0.0291,0.0269
"01 September 2008",0.6716,0.0103,0.2577,0.03,0.0286
"01 August 2008",0.6891,NA,0.2608,0.0299,0.0183
"01 July 2008",0.6857,NA,0.2614,0.033,0.0178
