"stdist","st","party","pid","full.name","incumbent","crp.id","npat.id","score","sd","perc","perc.r","perc.d"
"AK1","AK","D",-1,"Sharon Cissna",0,"N00034750",15863,-0.69,0.17,28.2,0,41
"AK1","AK","R",1,"Donald Young",1,"N00007999",26717,0.26,0.07,55.8,15,0.5
"AL1","AL","R",1,"Josiah Bonner",1,"N00025330",27522,0.45,0.08,63.6,30,0.5
"AL2","AL","D",-1,"Therese Ford",0,"N00033968",135114,-0.69,0.29,28.2,0,41
"AL2","AL","R",1,"Martha Roby",1,"N00030768",71604,0.41,0.2,61.8,26.5,0.5
"AL3","AL","D",-1,"John Harris",0,"N00034222",80329,-0.86,0.34,23.6,0,50.5
"AL3","AL","R",1,"Michael Rogers",1,"N00024759",5705,0.58,0.27,69.4,41,0.299999999999997
"AL4","AL","D",-1,"Daniel Boman",0,"N00033969",121513,1.24,0.83,84.6,70.3,0
"AL4","AL","R",1,"Robert Aderholt",1,"N00003028",441,1.47,0.76,91.9,84.3,0
"AL5","AL","D",-1,"Charlie Holley",0,"N00033971",135111,-1.14,0.69,18.7,0,60.9
"AL5","AL","R",1,"Morris Brooks",1,"N00030910",121610,0.62,0.29,71.3,44.7,0.299999999999997
"AL6","AL","R",1,"Spencer Bachus",1,"N00008091",26715,0.5,0.13,65.1,32.9,0.5
"AL7","AL","D",-1,"Terri Sewell",1,"N00030622",121621,-0.14,0.12,44.8,1,7.7
"AL7","AL","R",1,"Donald Chamberlain",0,"N00003085",27598,1.57,0.78,95.2,90.7,0
"AR1","AR","D",-1,"Scott Ellington",0,"N00034374",137180,-0.25,0.2,41.2,0.2,14.4
"AR1","AR","R",1,"Rick Crawford",1,"N00030770",119208,1.38,0.78,89,78.6,0
"AR2","AR","D",-1,"Herb Rule",0,"N00034375",137181,-1.41,0.77,10.5,0,77.9
"AR2","AR","R",1,"Tim Griffin",1,"N00031297",119213,0.52,0.24,66.2,35.1,0.5
"AR3","AR","R",1,"Stephen Womack",1,"N00031857",71815,0.41,0.19,61.8,26.5,0.5
"AR4","AR","D",-1,"Harmon Jeffress",0,"N00033730",16220,-0.01,0.09,47.2,1.7,3.7
