Year,Economically Active Population (10 000 persons),Total Employed Persons (10 000 persons),Primary Industry,Secondary Industry,Tertiary Industry,Composition in Percentage Primary Industry,Secondary Industry,Tertiary Industry
2011-12-31,78579.0,76420.0,26594.0,22544.0,27282.0,34.8,29.5,35.7
2010-12-31,78388.0,76105.0,27930.535,21842.135,26332.33,36.7,28.7,34.6
2009-12-31,77510.0,75828.0,28890.468,21080.184,25857.348,38.1,27.8,34.1
2008-12-31,77046.0,75564.0,29923.344,20553.408,25087.248,39.6,27.2,33.2
2007-12-31,76531.0,75321.0,30730.968,20186.028,24404.004,40.8,26.8,32.4
2006-12-31,76315.0,74978.0,31940.628,18894.456,24142.916,42.6,25.2,32.2
2005-12-31,76120.0,74647.0,33441.856,17765.986,23439.158,44.8,23.8,31.4
2004-12-31,75290.0,74264.0,34829.816,16709.4,22724.784,46.9,22.5,30.6
2003-12-31,74911.0,73736.0,36204.376,15926.976,21604.648,49.1,21.6,29.3
2002-12-31,74492.0,73280.0,36640.0,15681.92,20958.08,50.0,21.4,28.6
2001-12-31,73884.0,72797.0,36398.5,16233.731,20164.769,50.0,22.3,27.7
2000-12-31,73992.0,72085.0,36042.5,16219.125,19823.375,50.0,22.5,27.5
1999-12-31,72791.0,71394.0,35768.0,16421.0,19205.0,50.1,23.0,26.9
1998-12-31,72087.0,70637.0,35177.0,16600.0,18860.0,49.8,23.5,26.7
1997-12-31,70800.0,69820.0,34840.0,16547.0,18432.0,49.9,23.7,26.4
1996-12-31,69765.0,68950.0,34820.0,16203.0,17927.0,50.5,23.5,26.0
1995-12-31,68855.0,68065.0,35530.0,15655.0,16880.0,52.2,23.0,24.8
1994-12-31,68135.0,67455.0,36628.0,15312.0,15515.0,54.3,22.7,23.0
1993-12-31,67468.0,66808.0,37680.0,14965.0,14163.0,56.4,22.4,21.2
1992-12-31,66782.0,66152.0,38699.0,14355.0,13098.0,58.5,21.7,19.8
1991-12-31,66091.0,65491.0,39098.0,14015.0,12378.0,59.7,21.4,18.9
1990-12-31,65323.0,64749.0,38914.0,13856.0,11979.0,60.1,21.4,18.5
1989-12-31,55707.0,55329.0,33225.0,11976.0,10129.0,60.1,21.6,18.3
1988-12-31,54630.0,54334.0,32249.0,12152.0,9933.0,59.3,22.4,18.3
1987-12-31,53060.0,52783.0,31663.0,11726.0,9395.0,60.0,22.2,17.8
1986-12-31,51546.0,51282.0,31254.0,11216.0,8811.0,60.9,21.9,17.2
1985-12-31,50112.0,49873.0,31130.0,10384.0,8359.0,62.4,20.8,16.8
1984-12-31,48433.0,48197.0,30868.0,9590.0,7739.0,64.0,19.9,16.1
1983-12-31,46707.0,46436.0,31151.0,8679.0,6606.0,67.1,18.7,14.2
1982-12-31,45674.0,45295.0,30859.0,8346.0,6090.0,68.1,18.4,13.5
1981-12-31,44165.0,43725.0,29777.0,8003.0,5945.0,68.1,18.3,13.6
1980-12-31,42903.0,42361.0,29122.0,7707.0,5532.0,68.7,18.2,13.1
1979-12-31,41592.0,41024.0,28634.0,7214.0,5177.0,69.8,17.6,12.6
1978-12-31,40682.0,40152.0,28318.0,6945.0,4890.0,70.5,17.3,12.2
1975-12-31,,38168.0,29456.0,5152.0,3560.0,77.2,13.5,9.3
1970-12-31,,34432.0,27811.0,3518.0,3103.0,80.8,10.2,9.0
1965-12-31,,28670.0,23396.0,2408.0,2866.0,81.6,8.4,10.0
1962-12-31,,25910.0,21276.0,2059.0,2575.0,82.1,8.0,9.9
1957-12-31,23971.0,23771.0,19309.0,2142.0,2320.0,81.2,9.0,9.8
1952-12-31,21106.0,20729.0,17317.0,1531.0,1881.0,83.5,7.4,9.1
