"Name","T","WT","Oth. T.","Fed","Rtg","Rpd","Blz","B-Year","S","F"
"Charnushevich, Aliaksei","GM","","","FRA","2511","","","1978","M",""
"Chatalbashev, Boris","GM","","","BUL","2560","","","1974","M",""
"Chekhov, Valery A","GM","","","RUS","2457","","","1955","M","i"
"Cheparinov, Ivan","GM","","","BUL","2678","","","1986","M",""
"Cherniaev, Alexander","GM","","","RUS","2447","2494","2486","1969","M",""
"Chernikov, Oleg L","GM","","IA","RUS","2406","2286","2412","1936","M",""
"Chernin, Alexander","GM","","FST","HUN","2614","","","1960","M","i"
"Chernobay, Artem","GM","","","RUS","2498","2551","","1989","M",""
"Chernyshov, Konstantin","GM","","","RUS","2514","2520","","1967","M",""
"Chibukhchian, Artur","GM","","","ARM","2450","","","1979","M",""
"Chiburdanidze, Maia","GM","WGM","","GEO","2500","2475","2497","1961","F","i"
"Chirila, Ioan-Cristian","GM","","","ROU","2528","2503","2511","1991","M",""
"Christiansen, Larry M","GM","","","USA","2584","","","1956","M",""
"Chuchelov, Vladimir","GM","","FST","BEL","2553","","","1969","M",""
"Chuprov, Dmitry","GM","","","RUS","2472","","","1978","M","i"
"Cicak, Slavko","GM","","","SWE","2501","","","1969","M",""
"Cifuentes Parada, Roberto","GM","","","ESP","2464","","","1957","M",""
"Ciric, Dragoljub M","GM","","","SRB","2269","","","1935","M","i"
"Cmilyte, Viktorija","GM","WGM","","LTU","2511","2450","2532","1983","F",""
"Comas Fabrego, Lluis","GM","","","ESP","2512","","","1971","M",""
"Conquest, Stuart C","GM","","","ENG","2492","","","1967","M",""
"Cordova, Emilio","GM","","","PER","2576","","2559","1991","M",""
"Cori, Jorge","GM","","","PER","2549","2471","2467","1995","M",""
"Cornette, Matthieu","GM","","","FRA","2578","","","1985","M",""
"Cramling, Pia","GM","","","SWE","2524","2513","2430","1963","F",""
"Crisan, Alexandru","GM","","","ROU","2588","","","1962","M","i"
"Cruz, Cristhian","GM","","","PER","2499","","2463","1992","M",""
"Csom, Istvan","GM","","IA","HUN","2407","","","1940","M",""
"Cuartas, Jaime Alexander","GM","","","COL","2484","2492","2456","1975","M",""
"Cubas, Jose Fernando","GM","","","PAR","2528","","2538","1981","M",""
"Cvek, Robert","GM","","","CZE","2535","2525","2535","1979","M",""
"Cvitan, Ognjen","GM","","FT","CRO","2562","2542","2623","1961","M",""
"Cyborowski, Lukasz","GM","","","POL","2548","2544","","1980","M",""
"Czarnota, Pawel","GM","","","POL","2534","","","1988","M",""
"Czebe, Attila","GM","","","HUN","2488","2482","2512","1975","M",""
"Damljanovic, Branko","GM","","","SRB","2544","2578","","1961","M",""
"Danielian, Elina","GM","WGM","","ARM","2475","2473","2429","1978","F",""
"Danielian, Oganes","GM","","","ARM","2530","2507","2530","1974","M","i"
"Danielsen, Henrik","GM","","","ISL","2508","","","1966","M",""
"Danin, Alexandre","GM","","","RUS","2598","","","1986","M",""
"Dao, Thien Hai","GM","","FT","VIE","2500","","2506","1978","M",""
"Darga, Klaus","GM","","","GER","2453","","","1934","M","i"
"Darini, Pouria","GM","","","IRI","2548","","2500","1991","M",""
"Dautov, Rustem","GM","","","GER","2595","","","1965","M",""
"David, Alberto","GM","","","ITA","2597","2566","2584","1970","M",""
"Davies, Nigel R","GM","","","ENG","2494","","","1960","M","i"
"De Firmian, Nick E","GM","","","USA","2510","","","1957","M","i"
"De La Paz Perdomo, Frank","GM","","","CUB","2440","2455","","1975","M",""
"De La Riva Aguado, Oscar","GM","","FT","AND","2531","2537","2525","1972","M",""
"De La Villa Garcia, Jesus Maria","GM","","FST","ESP","2472","","","1958","M",""
"De Vreugt, Dennis","GM","","","NED","2426","","2469","1980","M",""
"Deepan Chakkravarthy J.","GM","","","IND","2468","2469","2432","1987","M",""
"Degraeve, Jean-Marc","GM","","","FRA","2566","","","1971","M",""
"Del Rio De Angelis, Salvador G.","GM","","","ESP","2505","","","1976","M",""
"Delchev, Aleksander","GM","","","BUL","2626","","","1971","M",""
"Delgado Ramirez, Neuris","GM","","","PAR","2583","","2572","1981","M",""
"Demchenko, Anton","GM","","","RUS","2639","2637","","1987","M",""
"Dervishi, Erald","GM","","","ALB","2566","","","1979","M",""
"Deviatkin, Andrei","GM","","","RUS","2541","2557","2575","1980","M",""
"Dgebuadze, Alexandre","GM","","","BEL","2512","","2519","1971","M",""
"Diamant, Andre","GM","","","BRA","2479","","2455","1990","M",""
"Dimitrov, Vladimir","GM","","","BUL","2413","","","1968","M","i"
"Ding, Liren","GM","","","CHN","2702","2702","2649","1992","M",""
"Dizdar, Goran","GM","","FST","CRO","2520","","","1958","M",""
"Dizdarevic, Emir","GM","","","BIH","2515","","","1958","M",""
"Djukic, Nikola","GM","","","MNE","2539","2553","2544","1983","M",""
"Djurhuus, Rune","GM","","","NOR","2455","","","1970","M",""
"Djuric, Stefan","GM","","","SRB","2434","2449","2437","1955","M",""
"Dlugy, Maxim","GM","","","USA","2524","2551","2636","1966","M",""
"Dobrov, Vladimir","GM","","","RUS","2545","2562","2559","1984","M",""
"Doettling, Fabian","GM","","","GER","2585","","","1980","M",""
"Dokhoian, Yury","GM","","","RUS","2580","","","1964","M","i"
"Dolmatov, Sergey","GM","","","RUS","2560","","","1959","M","i"
"Dominguez Perez, Leinier","GM","","","CUB","2727","2758","2769","1983","M",""
"Domogaev, Sergey","GM","","","RUS","2510","2482","2462","1964","M",""
"Donchev, Dimitar I.","GM","","","BUL","2436","","","1958","M","i"
"Dorfman, Iossif","GM","","FST","FRA","2580","","","1953","M","i"
"Dragun, Kamil","GM","","","POL","2523","2509","2514","1995","M",""
"Drasko, Milan","GM","","","MNE","2469","2521","2497","1962","M",""
"Drazic, Sinisa","GM","","","SRB","2463","2479","2486","1967","M",""
"Dreev, Aleksey","GM","","","RUS","2668","2746","2711","1969","M",""
"Drenchev, Petar","GM","","","BUL","2485","2487","2461","1977","M",""
"Drozdovskij, Yuri","GM","","","UKR","2616","","","1984","M","i"
"Dubov, Daniil","GM","","","RUS","2638","2584","2655","1996","M",""
"Durarbayli, Vasif","GM","","","AZE","2573","2560","2613","1992","M",""
"Dvoirys, Semen I.","GM","","","RUS","2533","2531","2586","1958","M",""
"Dyachkov, Sergej","GM","","","RUS","2572","","","1976","M","i"
"Dydyshko, Viacheslav","GM","","","BLR","2512","","","1949","M","i"
"Dzagnidze, Nana","GM","WGM","","GEO","2550","2575","2587","1987","F",""
"Dzhakaev, Dzhakay","GM","","","RUS","2494","2470","","1980","M","i"
"Dzhumaev, Marat","GM","","","UZB","2553","2491","2481","1976","M",""
"Dzindzichashvili, Roman","GM","","","USA","2550","","","1944","M","i"
