Id;community
mark4wyreforest;conservative
nadhimzahawi;conservative
hbaldwinmp;conservative
aluncairns;conservative
richard4watford;conservative
halfon4harlowmp;conservative
claire4devizes;conservative
marymacleodmp;conservative
ben4ipswich;conservative
johnglenmp;conservative
edvaizey;conservative
kwasikwarteng;conservative
nickhurdmp;conservative
johnpenrosenews;conservative
matthancockmp;conservative
pauline_latham;conservative
douglascarswell;conservative
simonkirbymp;conservative
jesse_norman;conservative
williamjhague;conservative
sbrine;conservative
johnredwood;conservative
rorystewartuk;conservative
nickherbertmp;conservative
jeremy_hunt;conservative
ericpickles;conservative
minforcivsoc;conservative
margotjamesmp;conservative
pennymordauntmp;conservative
sjacksonmp;conservative
markfieldmp;conservative
tweetbrooks;conservative
chrisskidmoremp;conservative
markspencermp;conservative
agriffithsmp;conservative
chrispincher;conservative
robwilson_rdg;conservative
samgyimah;conservative
markreckless;conservative
juliehillingmp;labour
kategreenmp;labour
margarethodge;labour
anncoffey_mp;labour
hammersmithandy;labour
glendajacksonmp;labour
hazelblearsmp;labour
karenbuckmp;labour
johnmcdonnellmp;labour
virendrasharma;labour
meaglemp;labour
alison_mcgovern;labour
rosie4westlancs;labour
lucympowell;labour
louiseellman;labour
stephentwigg;labour
steverotherammp;labour
angelaeagle;labour
frankfieldteam;labour
jeremylefroymp;conservative
karen__bradley;conservative
gwilliamsonmp;conservative
anna_soubrymp;conservative
drwollastonmp;conservative
mpritchardmp;conservative
edwardleighac;conservative
billcashmp;conservative
julianhuppert;libdem
swilliamsmp;libdem
rogerwilliamsmp;libdem
davidwardmp;libdem
johnleechmcr;libdem
martinchelt;libdem
mark4ceredigion;libdem
paulburstow;libdem
markhuntermp;libdem
gregmulholland1;libdem
nick_clegg;libdem
timfarron;libdem
simonwrightmp;libdem
stevewebb1;libdem
joswinson;libdem
andrewgeorgeld;libdem
michaelmooremp;libdem
duncanhames;libdem
malcolmbruce;libdem
tessamunt;libdem
iswales;libdem
simonhughesmp;libdem
jennywillott;libdem
annette4mdnp;libdem
philipdavies422;conservative
grahamstuart;conservative
jasonmccartney;conservative
kirby4kt;conservative
davidmundellmp;conservative
niagriffithmp;labour
sdoughtymp;labour
david_cameron;conservative
grantshapps;conservative
davidjonesmp;conservative
jbrokenshire;conservative
jamesduddridge;conservative
esthermcveymp;conservative
timloughton;conservative
andrew4pendle;conservative
chhcalling;conservative
theresecoffey;conservative
gavinbarwellmp;conservative
andrealeadsom;conservative
nickdebois;conservative
jakeberrymp;conservative
brandonlewis;conservative
damiancollins;conservative
cj_dinenage;conservative
gregbarkermp;conservative
peterbonemp;conservative
mikefreermp;conservative
sheryllmurray;conservative
andrewpercy;conservative
angiebraymp;conservative
tracey_crouch;conservative
peterjluff;conservative
nickymorgan01;conservative
annemiltonmp;conservative
chriswhite_mp;conservative
tom_watson;labour
tomharrismp;labour
catmckinnellmp;labour
sharonhodgsonmp;labour
bphillipsonmp;labour
grahamemorris;labour
karenpbuckmp;labour
dianajohnsonmp;labour
johnmannoffice;labour
emilythornberry;labour
barrygardiner;labour
helengoodmanmp;labour
robflellomp;labour
shabanamahmood;labour
lisanandy;labour
billestersonmp;labour
philwilsonmp;labour
robertabwmp;labour
seemamalhotra1;labour
keeleymp;labour
nicdakinmp;labour
meg_hilliermp;labour
acunninghammp;labour
jon_trickett;labour
bernardjenkin;conservative
cherylgillanmp;conservative
ammorrismp;conservative
scrabbmp;conservative
mike_fabricant;conservative
glyndaviesmp;conservative
jonathanevansmp;conservative
gutobebb;conservative
davidtcdavies;conservative
tobiasellwoodmp;conservative
conor_burnsmp;conservative
liamfoxmp;conservative
liambyrnemp;labour
chukaumunna;labour
davidlammy;labour
ed_miliband;labour
harrietharman;labour
rushanaraali;labour
dmiliband;labour
stevereedmp;labour
jowellt;labour
chrishuhne;libdem
eddaveykands;libdem
donfostermp;libdem
pauluppal;conservative
marklazarowicz;labour
greggmcclymont;labour
