URL: http://data.giss.nasa.gov/gistemp/tabledata_v3/GLB.Ts+dSST.txt

Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-34,-27,-23,-31,-17,-24,-20,-12,-21,-19,-17,-22,-22,NA,NA,-24,-18,-19
1881,-14,-16,-2,-2,-2,-25,-11,-7,-17,-23,-27,-17,-14,-14,-17,-2,-14,-22
1882,3,6,-1,-23,-19,-32,-26,-10,-12,-25,-24,-37,-17,-15,-3,-15,-23,-20
1883,-38,-37,-12,-19,-20,-7,-2,-13,-20,-19,-28,-19,-20,-21,-38,-17,-8,-22
1884,-19,-14,-30,-35,-33,-35,-31,-24,-29,-25,-28,-26,-27,-27,-17,-33,-30,-27
1885,-56,-29,-18,-36,-34,-39,-28,-24,-18,-14,-12,2,-25,-28,-37,-29,-30,-15
1886,-37,-42,-33,-22,-20,-29,-11,-20,-12,-22,-27,-17,-24,-23,-26,-25,-20,-20
1887,-59,-42,-25,-32,-27,-24,-18,-28,-24,-33,-28,-40,-32,-30,-39,-28,-24,-28
1888,-42,-40,-38,-24,-25,-20,-10,-13,-10,-3,0,-9,-20,-22,-41,-29,-14,-5
1889,-17,17,8,8,0,-10,-12,-18,-18,-21,-31,-29,-10,-8,-3,5,-13,-23
1890,-41,-37,-37,-34,-43,-28,-24,-32,-31,-20,-43,-29,-33,-33,-36,-38,-28,-31
1891,-41,-49,-18,-26,-20,-26,-25,-21,-17,-27,-40,-11,-27,-28,-40,-21,-24,-28
1892,-35,-15,-35,-38,-35,-31,-34,-28,-20,-18,-47,-43,-32,-29,-20,-36,-31,-28
1893,-84,-59,-28,-36,-44,-34,-17,-28,-24,-22,-20,-38,-36,-37,-62,-36,-26,-22
1894,-54,-33,-24,-46,-38,-41,-26,-21,-26,-23,-34,-25,-33,-34,-42,-36,-29,-27
1895,-50,-48,-29,-23,-30,-27,-19,-18,-10,-13,-15,-19,-25,-26,-41,-27,-21,-13
1896,-31,-20,-33,-39,-24,-17,-10,-10,-8,3,-16,-13,-18,-19,-23,-32,-12,-7
1897,-21,-21,-24,-12,-11,-22,-13,-18,-14,-19,-24,-27,-19,-18,-18,-16,-18,-19
1898,-13,-38,-56,-35,-36,-25,-27,-27,-24,-36,-39,-26,-32,-32,-26,-43,-27,-33
1899,-20,-39,-36,-21,-26,-36,-20,-14,-8,-7,6,-29,-21,-21,-28,-27,-23,-3
1900,-37,-3,2,-16,-15,-21,-19,-15,-15,-5,-19,-13,-15,-16,-23,-10,-18,-13
1901,-32,-7,1,-12,-23,-17,-18,-22,-26,-35,-25,-33,-21,-19,-17,-11,-19,-28
1902,-20,-3,-29,-30,-34,-37,-29,-32,-27,-35,-41,-47,-30,-29,-19,-31,-33,-34
1903,-25,0,-19,-38,-40,-46,-35,-42,-45,-47,-44,-52,-36,-36,-24,-32,-41,-45
1904,-65,-54,-42,-50,-49,-44,-46,-43,-47,-37,-17,-25,-43,-46,-57,-47,-44,-34
1905,-32,-60,-27,-34,-31,-31,-30,-26,-22,-27,-11,-23,-30,-30,-39,-31,-29,-20
1906,-29,-32,-15,-7,-24,-25,-32,-25,-30,-28,-47,-20,-26,-26,-28,-15,-28,-35
1907,-45,-53,-32,-44,-51,-45,-38,-36,-33,-26,-52,-51,-42,-40,-40,-42,-40,-37
1908,-44,-35,-56,-44,-38,-41,-41,-45,-34,-44,-49,-48,-43,-44,-43,-46,-43,-42
1909,-65,-46,-50,-56,-55,-51,-41,-30,-36,-40,-33,-55,-47,-46,-53,-54,-41,-36
1910,-45,-44,-48,-46,-44,-45,-36,-37,-39,-44,-55,-66,-46,-45,-48,-46,-39,-46
1911,-63,-58,-63,-54,-52,-50,-40,-41,-38,-27,-22,-25,-44,-48,-62,-56,-44,-29
1912,-29,-18,-41,-28,-29,-31,-47,-59,-55,-63,-45,-48,-41,-39,-24,-33,-46,-54
1913,-47,-47,-45,-41,-49,-48,-38,-38,-39,-41,-25,-10,-39,-42,-48,-45,-41,-35
1914,-3,-18,-26,-32,-26,-31,-35,-25,-23,-12,-24,-16,-23,-22,-10,-28,-30,-20
1915,-25,-8,-16,-4,-15,-20,-11,-20,-18,-25,-12,-22,-16,-16,-16,-12,-17,-18
1916,-20,-23,-32,-32,-34,-46,-33,-34,-34,-32,-40,-74,-36,-32,-22,-33,-38,-36
1917,-43,-55,-52,-45,-58,-44,-25,-29,-28,-44,-33,-72,-44,-44,-57,-52,-33,-35
1918,-44,-35,-26,-45,-41,-34,-29,-32,-22,-11,-21,-38,-32,-34,-51,-37,-32,-18
