calc	proba	stats
18	7	15
15	10	14
4	3	8
7	9	14
20	12	19
3	4	4
6	8	7
9	6	9
18	15	19
13	14	18
11	7	12
15	1	15
7	11	12
10	7	8
18	7	15
20	18	19
9	1	7
20	18	16
15	15	17
2	1	9
11	12	18
12	21	17
10	2	8
12	4	19
9	15	20
11	9	6
10	6	15
20	18	11
18	18	15
18	14	14
20	16	17
12	9	9
21	22	20
8	7	14
6	1	16
15	7	20
5	7	7
9	7	13
6	0	7
18	14	16
10	2	8
9	16	15
6	0	6
13	16	17
12	13	8
5	12	9
22	21	14
20	22	14
22	18	17
14	13	17
12	6	18
11	9	13
7	8	17
0	2	4
9	6	15
19	16	14
0	4	8
11	11	11
17	19	11
8	10	11
4	10	6
15	8	15
11	20	16
12	8	9
15	15	18
17	18	20
7	21	13
12	19	10
16	24	12
7	16	8
20	21	19
6	0	7
4	0	8
15	15	17
7	13	8
4	0	10
14	10	15
7	10	9
18	15	14
10	18	14
20	18	14
14	13	8
11	8	10
0	1	6
9	7	14
4	15	4
