"","End.of.fieldwork..election.date","CON","LAB","LD","OTH"
"1","15-06-1984",37,38,23,2
"2","15-07-1984",34,39,26,1
"3","15-08-1984",36,39,24,1
"4","15-09-1984",39,38,21,2
"5","15-10-1984",38,36,24,2
"6","15-11-1984",42,33,24,1
"7","15-12-1984",41,32,26,1
"8","15-01-1985",41,33,25,1
"9","15-02-1985",38,36,25,1
"10","15-03-1985",36,36,27,1
"11","15-04-1985",33,38,28,1
"12","15-05-1985",29,34,35,1
"13","15-06-1985",31,36,32,1
"14","15-07-1985",31,34,33,2
"15","15-08-1985",31,36,31,2
"16","15-09-1985",31,32,36,1
"17","15-10-1985",32,34,32,2
"18","15-11-1985",34,35,28,2
"19","15-12-1985",35,33,30,2
"20","15-01-1986",29,36,33,2
"21","15-02-1986",27,36,35,3
"22","15-03-1986",32,36,31,2
"23","15-04-1986",32,35,30,3
"24","15-05-1986",28,39,30,3
"25","15-06-1986",33,39,26,2
"26","15-07-1986",31,38,28,3
"27","15-08-1986",32,38,27,3
"28","15-09-1986",34,40,24,2
"29","15-10-1986",36,39,24,2
"30","14-11-1986",38,36,23,2
"31","14-12-1986",39,38,21,2
"32","14-01-1987",38,36,23,3
"33","13-02-1987",38,35,24,2
"34","16-03-1987",38,32,27,3
"35","15-04-1987",38,32,27,3
"36","16-05-1987",43,29,25,3
"37","21-05-1987",41,33,21,5
"38","28-05-1987",44,32,21,3
"39","04-06-1987",44,34,20,2
"40","08-06-1987",45,32,21,2
"41","10-06-1987",42,35,21,2
"42","11-06-1987",43,32,23,2
"43","15-10-1987",45,39,13,3
"44","15-12-1987",47,37,13,3
"45","15-01-1988",42,40,17,2
"46","15-02-1988",43,43,14,1
"47","15-03-1988",45,41,12,2
"48","15-04-1988",43,42,12,2
"49","15-05-1988",44,42,11,3
"50","15-06-1988",47,42,9,2
"51","15-07-1988",45,43,9,3
"52","15-08-1988",45,41,11,3
"53","15-09-1988",42,44,12,2
"54","15-10-1988",44,40,13,4
"55","15-11-1988",42,42,13,3
"56","15-12-1988",45,39,12,4
"57","16-01-1989",44,40,11,4
"58","11-02-1989",42,39,14,4
"59","13-03-1989",42,41,14,4
"60","08-04-1989",44,40,13,4
"61","13-05-1989",43,43,11,3
"62","10-06-1989",38,42,11,9
"63","08-07-1989",38,42,10,11
"64","12-08-1989",37,45,9,9
"65","09-09-1989",38,46,6,10
"66","07-10-1989",39,49,6,7
"67","07-11-1989",36,49,9,6
"68","08-12-1989",37,49,8,6
"69","12-01-1990",38,47,8,7
"70","06-02-1990",36,51,6,5
"71","09-04-1990",31,52,9,8
"72","07-04-1990",32,56,6,6
"73","12-05-1990",32,50,13,6
"74","09-06-1990",35,54,5,6
"75","07-07-1990",35,51,8,5
"76","11-08-1990",38,49,9,4
"77","08-09-1990",37,50,8,6
"78","13-10-1990",36,49,9,7
"79","10-11-1990",33,49,13,5
"80","08-12-1990",45,43,9,3
"81","12-01-1991",43,43,10,5
"82","09-02-1991",44,42,9,5
"83","09-03-1991",39,40,16,5
"84","06-04-1991",39,43,13,5
"85","11-05-1991",37,43,16,5
"86","08-06-1991",34,44,17,6
"87","06-07-1991",37,43,16,4
"88","10-08-1991",36,45,16,3
"89","14-09-1991",39,39,17,4
"90","12-10-1991",41,43,12,4
"91","09-11-1991",41,43,13,4
"92","07-12-1991",39,42,14,4
"93","11-01-1992",42,41,12,4
"94","08-02-1992",40,40,16,4
"95","07-03-1992",39,42,15,4
"96","17-03-1992",38,43,16,3
"97","24-03-1992",39,40,17,4
"98","31-03-1992",37,41,18,4
"99","08-04-1992",38,38,20,4
"100","09-04-1992",43,35,18,4
"101","09-05-1992",45,34,17,4
"102","07-06-1992",45,36,16,4
"103","04-07-1992",45,36,15,5
"104","08-08-1992",41,36,17,5
"105","05-09-1992",39,35,19,6
"106","10-10-1992",38,38,19,5
"107","07-11-1992",36,40,19,5
"108","05-12-1992",36,41,18,5
"109","09-01-1993",39,37,18,6
"110","06-02-1993",37,39,18,5
"111","06-03-1993",36,41,18,5
"112","03-04-1993",34,39,21,5
"113","08-05-1993",32,38,24,6
"114","05-06-1993",31,38,26,6
"115","03-07-1993",32,37,25,6
"116","07-08-1993",30,36,27,6
"117","11-09-1993",29,40,26,5
"118","09-10-1993",36,39,20,4
"119","06-11-1993",34,38,24,4
"120","04-12-1993",31,42,23,4
"121","08-01-1994",31,43,21,5
"122","12-02-1994",30,44,21,5
"123","12-03-1994",29,44,22,5
"124","09-04-1994",30,42,22,5
"125","07-05-1994",29,44,24,4
"126","21-05-1994",30,44,20,6
"127","09-07-1994",31,44,21,4
"128","06-08-1994",28,49,19,5
"129","10-09-1994",33,45,18,4
"130","08-10-1994",32,49,15,4
"131","05-11-1994",31,49,16,3
"132","03-12-1994",31,49,17,4
"133","14-01-1995",30,48,18,4
"134","11-02-1995",31,49,17,4
"135","11-03-1995",27,52,17,4
"136","08-04-1995",26,51,18,5
