"","End.of.fieldwork..election.date","CON","LAB","LIB.DEM","OTHER","CON.LEAD.OVER.LABOUR","Sample","Fieldwork.dates"
"1","15-06-1984","37%","38%","23%","2%","-1%","n/a","June, 1984"
"2","15-07-1984","34%","39%","26%","1%","-5%","n/a","July, 1984"
"3","15-08-1984","36%","39%","24%","1%","-3%","n/a","Aug, 1984"
"4","15-09-1984","39%","38%","21%","2%","1%","n/a","Sep 1984"
"5","15-10-1984","38%","36%","24%","2%","2%","n/a","Oct, 1984"
"6","15-11-1984","42%","33%","24%","1%","9%","n/a","Nov, 1984"
"7","15-12-1984","41%","32%","26%","1%","9%","n/a","Dec, 1984"
"8","15-01-1985","41%","33%","25%","1%","8%","n/a","Jan, 1985"
"9","15-02-1985","38%","36%","25%","1%","2%","n/a","Feb, 1985"
"10","15-03-1985","36%","36%","27%","1%","0%","n/a","March, 1985"
"11","15-04-1985","33%","38%","28%","1%","-5%","n/a","April, 1985"
"12","15-05-1985","29%","34%","35%","1%","-5%","n/a","May, 1985"
"13","15-06-1985","31%","36%","32%","1%","-5%","n/a","June, 1985"
"14","15-07-1985","31%","34%","33%","2%","-3%","n/a","July, 1985"
"15","15-08-1985","31%","36%","31%","2%","-5%","n/a","Aug, 1985"
"16","15-09-1985","31%","32%","36%","1%","-1%","n/a","Sep 1985"
"17","15-10-1985","32%","34%","32%","2%","-2%","n/a","Oct, 1985"
"18","15-11-1985","34%","35%","28%","2%","-1%","n/a","Nov, 1985"
"19","15-12-1985","35%","33%","30%","2%","2%","n/a","Dec, 1985"
"20","15-01-1986","29%","36%","33%","2%","-7%","n/a","Jan, 1986"
"21","15-02-1986","27%","36%","35%","3%","-9%","n/a","Feb, 1986"
"22","15-03-1986","32%","36%","31%","2%","-4%","n/a","March, 1986"
"23","15-04-1986","32%","35%","30%","3%","-3%","n/a","April, 1986"
"24","15-05-1986","28%","39%","30%","3%","-11%","n/a","May, 1986"
"25","15-06-1986","33%","39%","26%","2%","-6%","n/a","June, 1986"
"26","15-07-1986","31%","38%","28%","3%","-7%","n/a","July, 1986"
"27","15-08-1986","32%","38%","27%","3%","-6%","n/a","Aug, 1986"
"28","15-09-1986","34%","40%","24%","2%","-6%","n/a","Sep 1986"
"29","15-10-1986","36%","39%","24%","2%","-3%","n/a","Oct, 1986"
"30","14-11-1986","38%","36%","23%","2%","2%","n/a","Nov, 1986"
