"Country" "gdp_4cast_2011" "gdp_4cast_2012" "struct_bal_2010" "struct_bal_2011" "struct_bal_2012" "cyc_adj_prim_bal_2010" "cyc_adj_prim_bal_2012" "gdp_4cast_2011_new" "gdp_4cast_2012_new" "cumgrowth_2010" "cumgrowth_2012" "D_growth" "D_struct_bal" "D_cyc_adj_prim_bal" "ca_def" "iso3c"
"1" "Australia" 2.963 3.472 -3.955 -4.901 -3.461 -4 -3 2.508 2.14 6.53787536000002 4.70167120000001 -1.83620416000001 0.494 1 -4.106 "AUS"
"2" "Austria" 1.329 1.708 -2.958 -4.279 -4.092 -1.2 -2.2 2.051 2.696 3.05969932000001 4.80229496000001 1.74259564 -1.134 -1 1.396 "AUT"
"3" "Belgium" 1.153 1.336 -4.786 -4.257 -3.425 -1.7 0.3 2.421 1.784 2.50440408000001 4.24819064000002 1.74378656 1.361 2 -0.267 "BEL"
"4" "Canada" 3.142 3.203 -2.042 -2.997 -1.518 -2.1 -0.4 3.215 2.406 6.44563826 5.69835289999999 -0.747285360000006 0.524 1.7 -2.704 "CAN"
"5" "Cyprus" -0.69 1.918 -5.485 -5.963 -7.217 NA NA 1.141 0.481 1.2147658 1.62748821 0.412722410000001 -1.732 NA -9.345 "CYP"
"7" "Denmark" 1.2 1.557 0.038 -1.726 -1.494 -0.8 -2.5 1.296 0.769 2.77568400000001 2.07496624000001 -0.700717760000003 -1.532 -1.7 3.998 "DNK"
"8" "Finland" 1.25 2.2 -0.124 -1.878 -1.094 -0.7 -2 3.323 2.741 3.47750000000001 6.15508343 2.67758343 -0.97 -1.3 1.384 "FIN"
"9" "France" 1.522 1.753 -4.872 -4.602 -4.469 -4.1 -3.2 1.664 1.693 3.30168066000002 3.38517151999999 0.0834908599999693 0.403 0.899999999999999 -1.451 "FRA"
"10" "Germany" 1.21 1.748 -1.055 -3.759 -3.7 1.2 -1.5 4.024 3.096 2.97915079999999 7.24458304000001 4.26543224000002 -2.645 -2.7 4.791 "DEU"
"11" "Greece" -2 -1.05 -13.065 -8.886 -7.769 -10 0.8 -3.517 -6.906 -3.029 -10.18011598 -7.15111598000001 5.296 10.8 -11.217 "GRC"
"14" "Ireland" -1.545 1.936 -10.009 -7.878 -6.843 -8.6 -4.3 -0.766 1.431 0.361088800000005 0.654038540000002 0.292949739999997 3.166 4.3 -2.944 "IRL"
"16" "Italy" 0.843 1.159 -3.937 -3.481 -3.391 1 1.1 1.804 0.431 2.01177036999999 2.24277524 0.231004870000007 0.546 0.1 -3.365 "ITA"
"17" "Japan" 1.896 1.965 -7.399 -7.488 -7.397 -6.3 -5.8 4.533 -0.755 3.89825640000001 3.74377585000002 -0.154480549999988 0.00199999999999978 0.5 2.795 "JPN"
"20" "Malta" 0.47 1.461 -3.075 -3.864 -3.619 NA NA 2.528 2.064 1.9378667 4.64417791999999 2.70631121999999 -0.544 NA -3.892 "MLT"
"21" "Netherlands" 1.302 1.348 -4.547 -5.19 -4.566 -2.8 -2.6 1.629 1.085 2.66755096 2.73167464999999 0.0641236899999882 -0.0190000000000001 0.2 5.241 "NLD"
"22" "New Zealand" 2.875 3.225 0.392 -2.041 -3.053 1.9 -1.1 1.818 1.347 6.19271874999998 3.18948846000002 -3.00323028999996 -3.445 -3 -3.026 "NZL"
"23" "Norway" 1.078 1.816 -6.849 -7.331 -6.802 -7.7 -7.7 0.637 1.522 2.91357648 2.16869514 -0.744881340000006 0.0470000000000006 0 13.813 "NOR"
"24" "Portugal" 0.293 0.653 -7.813 -7.062 -6.515 -5.1 -3 1.401 -1.669 0.947913290000002 -0.291382689999992 -1.23929597999999 1.298 2.1 -10.057 "PRT"
"26" "Slovak Republic" 4.1 4.5 -4.863 -4.695 -3.769 -3.8 -2 4.183 3.349 8.78449999999998 7.67208867000001 -1.11241132999997 1.094 1.8 -3.195 "SVK"
"27" "Slovenia" 1.123 2.043 -4.876 -4.397 -3.217 -3.9 -1.9 1.24 0.6 3.18894288999999 1.84743999999999 -1.34150289 1.659 2 -0.295 "SVN"
"28" "Spain" -0.41 0.902 -8.408 -7.313 -7.213 -7.6 -5.1 -0.322 0.417 0.488301800000002 0.0936572600000005 -0.394644540000002 1.195 2.5 -5.064 "ESP"
"29" "Sweden" 1.23 2.5 -0.625 -0.828 -0.685 -1.4 -1.4 5.876 3.968 3.76075 10.07715968 6.31640967999998 -0.0600000000000001 0 6.359 "SWE"
"32" "United Kingdom" 1.337 2.505 -7.834 -7.552 -6.168 -6.1 -3.5 1.799 0.758 3.87549185000002 2.57063641999999 -1.30485543000003 1.666 2.6 -1.321 "GBR"
"33" "United States" 3.101 2.55 -7.884 -9.221 -7.318 -6.2 -5.2 2.391 1.808 5.73007550000001 4.24222928000002 -1.48784621999999 0.566000000000001 1 -2.932 "USA"
