"COUNTRY"	"Households income"	"Household financial wealth"	"Employment rate"	"Personal earnings"	"Job security"	"Long-term unemployment rate"	"Rooms per person"	"Housing expenditure"	"Dwellings with basic facilities"	"Employees working very long hours"	"Time devoted to leisure and personal care"	"Life expectancy"	"Self-reported health"	"Educational attainment"	"Years in education"	"Students’ skills"	"Social network"	"Consultation on rule-making"	"Voter turn-out"	"Water quality"	"Air pollution"	"Homicide rate"	"Assault rate"	"Life Satisfaction"
"Australia"	"26927 USD"	"29630 USD"	"72%"	"42550 USD"	"11.70%"	"0.97%"		"21%"		"13.99%"	"14.41 hours"	"81.8 years"	"85%"	"71%"	"18.4 years"	"519 score"	"97%"	"10.5 index"	"95%"	"92%"	"14 micrograms"	"1.2 homicides"	"2.10%"	"7.4 rate"
"Austria"	"27541 USD"	"45468 USD"	"72%"	"41904 USD"	"8.80%"	"1.11%"	"1.7 rooms"	"22%"	"98.80%"	"9.02%"	"14.46 hours"	"80.7 years"	"69%"	"82%"	"16.6 years"	"487 score"	"94%"	"7.1 index"	"82%"	"94%"	"29 micrograms"	"0.5 homicides"	"2.98%"	"7.5 rate"
"Belgium"	"26734 USD"	"69466 USD"	"62%"	"42811 USD"	"6.46%"	"4.04%"	"2.1 rooms"	"20%"	"99.70%"	"4.45%"	"15.71 hours"	"80.3 years"	"77%"	"71%"	"18.7 years"	"509 score"	"94%"	"4.5 index"	"91%"	"84%"	"21 micrograms"	"1.7 homicides"	"6.67%"	"7 rate"
"Brazil"			"68%"		"14.03%"				"93.33%"	"12.50%"		"73.2 years"		"41%"	"16.3 years"	"401 score"	"91%"	"4 index"	"83%"	"84%"	"21 micrograms"	"22.7 homicides"	"9.38%"	"6.8 rate"
"Canada"	"27138 USD"	"60344 USD"	"72%"	"41961 USD"	"11.26%"	"0.96%"		"23%"	"99.81%"	"3.91%"	"14.25 hours"	"80.8 years"	"88%"	"88%"	"17 years"	"527 score"	"92%"	"10.5 index"	"60%"	"90%"	"15 micrograms"	"1.8 homicides"	"1.31%"	"7.4 rate"
"Chile"	"8618 USD"	"15355 USD"	"59%"	"11299 USD"			"1.3 rooms"	"21%"	"90.64%"	"7.15%"		"79 years"	"59%"	"69%"	"15.6 years"	"439 score"	"86%"	"2 index"	"88%"	"85%"	"62 micrograms"	"3.7 homicides"	"9.33%"	"6.6 rate"
"Czech Republic"	"16614 USD"	"13681 USD"	"65%"	"20424 USD"	"6.36%"	"3.16%"	"1.4 rooms"	"26%"	"99.30%"	"8.75%"	"14.34 hours"	"77.7 years"	"68%"	"91%"	"17.6 years"	"490 score"	"91%"	"6.8 index"	"64%"	"87%"	"18 micrograms"	"0.9 homicides"	"2.96%"	"6.3 rate"
"Denmark"	"23213 USD"	"31025 USD"	"73%"	"42904 USD"	"12.36%"	"1.42%"	"1.9 rooms"	"26%"	"100%"	"1.92%"	"16.06 hours"	"79.3 years"	"71%"	"76%"	"18.4 years"	"499 score"	"96%"	"7 index"	"87%"	"96%"	"16 micrograms"	"0.9 homicides"	"3.93%"	"7.8 rate"
"Estonia"	"13149 USD"	"11231 USD"	"61%"	"17145 USD"	"9.63%"	"7.63%"	"1.2 rooms"	"21%"	"88.90%"	"3.55%"	"14.2 hours"	"75.6 years"	"55%"	"89%"	"17.5 years"	"514 score"	"91%"	"3.3 index"	"62%"	"70%"	"13 micrograms"	"5.2 homicides"	"5.52%"	"5.5 rate"
"Finland"	"24958 USD"	"19751 USD"	"68%"	"35319 USD"	"13.42%"	"1.98%"	"1.9 rooms"	"23%"	"99.30%"	"3.66%"	"14.89 hours"	"80.2 years"	"68%"	"82%"	"19.5 years"	"543 score"	"94%"	"9 index"	"74%"	"94%"	"15 micrograms"	"2.3 homicides"	"2.36%"	"7.4 rate"
