"1913:2011","P90.100","P99.100","P0.90"
1913,NA,273985.730366356,NA
1914,NA,270629.095211808,NA
1915,NA,264512.856268426,NA
1916,NA,321196.536329806,NA
1917,68130.1730275932,298322.600011355,11117.8529001618
1918,63757.6768676621,253737.567790305,10579.0103584704
1919,63568.1949623212,258759.035214065,10456.4530364123
1920,54864.2604080519,208546.85538112,9529.1599151723
1921,53036.3079793834,192069.714613621,7754.08686293997
1922,61331.8633316258,239281.970965471,8771.8562164794
1923,64737.507994254,244241.552618808,10155.8086849846
1924,69011.4152593038,270765.931045675,9599.44994962913
1925,74792.968389207,326647.991351995,9617.60742509274
1926,73711.7133009074,321049.28852101,9727.36003308797
1927,76514.3051466715,344711.608697481,9715.4037067957
1928,85068.9475071238,413192.344133854,9724.91309334331
1929,83127.7582647294,397808.070427333,10537.7187348229
1930,67387.2391122169,264588.347668473,9581.70338712543
1931,61167.4493206042,212827.365407667,8461.57588282761
1932,53169.2381147473,178368.162884569,6832.58322475348
1933,51618.1263189016,186316.899593381,6841.66834954433
1934,56582.0330675437,202643.77498364,7444.88154669629
1935,60143.5628792383,225417.26862285,8336.53211163685
1936,70232.3982132889,290738.33218128,8944.55976630587
1937,68260.9224824454,264660.301626518,9562.87530924938
1938,62850.2333419318,224663.470753885,8860.96290887179
1939,68956.8158456535,245048.297558634,9170.78607602916
1940,71760.2011828009,261070.458701624,9630.53978100046
1941,77665.5909574872,292388.615136818,11951.0771187638
1942,77375.8649048707,287604.842674003,15199.6009746816
1943,83964.6021716851,306786.320296147,18362.5776382149
1944,80084.9547115776,277872.281275844,18470.5907941457
1945,84591.9482859159,307563.432846002,17905.3730373036
1946,91803.8887381393,332125.329269393,17594.0006586759
1947,81611.3402993179,284054.8121727,17332.3242906411
1948,84470.0971601037,295352.754455733,17419.9918404534
1949,82215.7272806574,277442.564548868,17152.1678935562
1950,91955.1431914557,331470.915434824,18512.4323276782
1951,90895.7149650387,313113.388582137,19416.1002494882
1952,90493.424334418,294025.579697066,20220.2972226968
1953,91487.6761189127,280404.192069587,21299.4401553354
1954,95118.863269708,304663.331815846,20852.1193179885
1955,103471.600943136,337129.098097548,22379.3792558615
1956,106843.256719719,340755.245807315,23605.8546938573
1957,104937.284781643,323222.229617338,23684.9418089183
1958,104072.964498805,316476.03967009,22891.4435391077
1959,112914.51461836,353565.539883827,24350.1760842325
1960,111609.98912801,334564.943256834,24644.6685385877
1961,116962.421008377,363323.648900517,24942.9019102447
1962,117714.464593423,347541.967830268,25730.8040464248
1963,121240.70818074,355865.440293813,26402.3174108855
1964,130143.574424147,396183.273680953,27547.3601022244
1965,137914.349276665,431888.10489603,28734.16321752
1966,138793.689911795,419416.920406797,30377.6964562107
1967,147107.693170303,458584.697725809,31108.6298857805
1968,155357.330865787,499896.17117613,32274.1651880576
1969,151116.750320921,461042.16301474,32696.6869928436
1970,143151.847276417,395984.611623535,32844.2597161754
1971,147288.376813679,415266.369517681,32725.4134376224
1972,155621.664477611,446566.733151883,34192.4427452199
1973,156875.474236385,431217.840547378,34862.2051769996
1974,150512.811271758,412217.105355752,33484.3630521646
1975,143020.147271344,379557.369017359,31640.2566830029
1976,147171.157942733,390280.067467224,32586.8366382385
1977,149525.816048929,401832.437191842,32856.8962186947
1978,151935.033491356,406108.441443833,33532.3318679448
1979,156962.145184978,456848.143609,33536.3050647777
1980,154143.748622315,446011.988100674,32325.8341380844
1981,152031.308393193,440865.320331832,32009.4136501396
1982,152760.906167872,466763.270375174,31066.1740844369
1983,158154.079199023,502312.237098871,30727.9468200854
1984,165274.245233334,539404.190728131,31625.4055287125
1985,173660.28995873,585741.541545176,32075.9390092704
1986,201288.370511892,788580.992177457,32682.556410784
1987,180530.24830285,597687.264399167,32388.4839405663
1988,201462.866632697,768257.278619342,32711.1206847826
1989,197057.786206057,712163.628331993,32727.6829523679
1990,192887.53964961,691423.167075033,32180.5561126858
1991,184441.813733652,623147.999176437,31329.136890264
1992,192534.570619386,691930.97677488,31011.3592039327
1993,190183.347855681,665510.440763881,30807.9063288002
1994,193586.36280792,675569.981071635,31233.3099622982
1995,206594.16941836,747318.131006148,31551.687986975
1996,221738.79024781,850923.372473832,32021.457367832
1997,240822.155602065,971779.216282414,33178.4070660433
1998,259750.946817294,1092314.79210604,34722.3494005067
1999,278510.311201362,1201330.06471413,35648.4621023815
2000,292582.44991547,1322634.67654564,35777.3537001356
2001,256376.650355428,1042139.65363226,35066.5566950039
2002,237728.012820262,914943.618487842,33864.6984133129
2003,240169.446823997,945424.1390462,33245.5457080163
2004,263066.527844225,1119927.82700208,33766.6016723978
2005,286063.437051621,1297092.37522724,33975.976282417
2006,299575.572057943,1386296.28570122,34204.0416146178
2007,313279.267785263,1480298.07614737,35172.7114302983
2008,273674.522446809,1188601.34095771,32642.8109445785
2009,241835.143085987,942284.408751235,30913.1183958972
2010,255067.156098905,1054555.06974846,30649.6824128172
2011,254864.3068316,1048234.36195672,30436.9697671302
