"NA.","P90.100","P95.100","P99.100","P99.5.100","P99.9.100","P99.99.100"
1913,NA,NA,17.9600418618677,14.7264569314871,8.61660817145581,2.75501620545077
1914,NA,NA,18.1579410592163,15.0802622430197,8.60334089140613,2.72920847365446
1915,NA,NA,17.577725,14.57755,9.21885,4.36035
1916,NA,NA,18.5730667754062,15.6036449461324,9.86653043001581,4.40493410443468
1917,40.2870418752226,30.3345483573205,17.5994874581952,14.2341917768497,8.35788084805983,3.33076913805183
1918,39.9037275120226,29.2979482993876,15.8832204355484,12.3854950735275,6.74116426024008,2.44816293043196
1919,39.4813240153393,29.307649555521,15.8674148545227,12.2339651877482,6.45397884830736,2.22020659211262
1920,38.1003874377692,27.4694503319667,14.4590420554394,10.9532629518181,5.37143303444607,1.67163862642264
1921,42.8597266399737,30.457060858318,15.4729299864716,11.5988330223682,5.60216500839064,1.68921038823408
1922,42.9485534276513,31.0527850746989,16.2923194904341,12.3762254901969,6.16852820539588,2.0093203672445
1923,40.589552069786,28.9486580563953,14.9910046820313,11.3231413689003,5.50386522487682,1.75159731843984
1924,43.2639146553968,30.9278771313489,16.3159068690895,12.4163921511566,6.14012849581822,2.00871357325958
1925,44.166809347302,32.4655056493413,17.6028065888758,13.4134914418351,6.75202917964938,2.34507839236309
1926,44.0689852798539,32.7523532474833,18.0114970143105,13.747729345105,7.06817377268681,2.53877896987219
1927,44.6657333195794,33.4316491815881,18.6788857502351,14.3330284572369,7.4726058910537,2.75813488115311
1928,46.0931821506666,34.77142212976,19.5987179625089,15.1749131176866,8.19166227134544,3.22548835908997
1929,43.7584036034691,33.0483674827158,18.4179042853159,14.2131252267332,7.62186084387362,3.00578126085171
1930,43.0734745533906,31.1806842377483,16.4228184164495,12.4172567715379,6.40172303242754,2.38875384911164
1931,44.4049938396853,31.0122221839071,15.2705940442233,11.3237713377459,5.67514453418838,2.07441333984932
1932,46.3005258710505,32.59080516095,15.4784676318871,11.548961982268,5.89622449627439,1.92648554937774
1933,45.0264295057035,32.4864162701919,15.770913177787,11.7786833886698,6.05447824968753,2.04461435372473
1934,45.1550766438589,32.9946429507902,15.8681850764176,11.7959911037941,5.82368062873078,1.92189398243564
1935,43.3929872727685,30.9901858662781,15.6283119904622,11.6705265313908,5.79687185625506,1.9463370851066
1936,44.772366982564,32.6547726941797,17.6373421759018,13.3691316878629,6.68744941647528,2.23412597052131
1937,43.3478798533453,31.3792744893922,16.4504342867913,12.4151890813592,6.16118178662899,2.01553805780817
1938,43.0008904925141,30.1821920253925,14.7293830254249,10.8163667232096,5.15572030443175,1.66646302615225
1939,44.5688981729636,31.2866097058345,15.393035953166,11.365322329434,5.45096499254963,1.74126029844716
1940,44.4266375047431,31.2881497010535,15.7339880746339,11.6613041454895,5.57319620809119,1.77403784590743
1941,41.0193145763531,29.0172061188534,15.0079783779967,11.1483723273858,5.28938922106923,1.62904807516231
1942,35.4941831193665,25.1073982256624,12.9054410636388,9.59502037642814,4.47707387279018,1.32169909237434
1943,32.6699231988766,23.0207622634159,11.4846537213808,8.42886193268158,3.78326869131054,0.972670872564625
1944,31.5488699492282,21.7582838830582,10.5386700002579,7.60361850901455,3.32742289347884,0.924091136095122
1945,32.6445887062075,22.9034316444154,11.0711939488099,7.86882864707424,3.31886971735655,0.844914173347795
1946,34.6163940689304,24.6577402201265,11.7624257705476,8.28074932816505,3.43211676134227,0.916382567070993
1947,33.0171775934356,23.2994626478441,10.9538359238743,7.70749873171226,3.23569654449576,0.902894048966817
1948,33.7206376452028,23.6959792265937,11.2698724741439,8.02604863914972,3.43714397955433,0.953851185659535
1949,33.7630980951954,23.461915111456,10.946064706588,7.77002197042304,3.33675232306147,0.954430715222885
1950,33.8711006103991,23.8712895925856,11.360065498283,8.1353358178591,3.53180142640955,0.826903306081205
1951,32.8199651016794,22.6701643151228,10.518335555719,7.41071904314674,3.11709112515463,0.865169333611165
1952,32.0739620975755,21.8468903278189,9.75832021655474,6.80780526462594,2.75591254643569,0.745716946133215
1953,31.3804318683562,21.0073424892119,9.08108977021864,6.26294666649047,2.50632130949151,0.672644671540106
1954,32.1193107315453,21.5606826820627,9.3904559145803,6.46923519078612,2.56633605623987,0.70588248853422
1955,31.7720745774613,21.3778360969247,9.18052826757127,6.28496725657504,2.48710882057968,0.720611634804991
1956,31.8060239901845,21.3475493842216,9.08697575765872,6.14399631336149,2.38291532779744,0.681153113623968
1957,31.6873093765545,21.1674998094338,8.98188515660215,6.07994903215372,2.35913850257539,0.663080522414254
1958,32.1122690969275,21.2600179164721,8.83357350019559,5.94226869980016,2.29273444933397,0.64243772482168
1959,32.0332879480249,21.024822758489,8.74785207852669,5.90034552278012,2.19127192999306,0.616176677252553
1960,31.657437586134,20.5115316973401,8.35659009213576,5.52097935041721,2.09645478266581,0.596373218694061
1961,31.8962114739526,20.9068617516802,8.33760053839099,5.40931680164614,2.05339982806908,0.587037566337155
1962,32.043825702061,20.9428122172829,8.27367556707456,5.39915752416503,1.98411735304309,0.561620580729985
1963,32.0096223220015,20.895061215332,8.16393665761361,5.32969439130433,1.96355669917545,0.56800334450204
1964,31.6393178872088,20.623064231697,8.02075104626677,5.33322004580295,1.9689860769878,0.531289115556104
1965,31.5181882926993,20.699893083727,8.06506469440149,5.42190996116702,2.03718925192573,0.537866517272559
1966,31.9815451807518,20.9920587974096,8.36818430072932,5.58546116988554,2.15417365201153,0.602946668621911
1967,32.0458369736482,21.0729673795533,8.42533195266657,5.62930106572269,2.16000228639914,0.596471683217962
1968,31.982618841599,20.9763121916299,8.35194148590666,5.57852719798327,2.14545167445849,0.581572181982537
1969,31.8208757051207,20.680012828563,8.01742202142303,5.30356875286012,2.00115476356685,0.547129567477932
1970,31.5136599453495,20.3876974644434,7.80384588644263,5.15607409280703,1.93777285199368,0.525339308758492
1971,31.7538845866267,20.4960205678548,7.78608166609168,5.12297219891361,1.91442019220774,0.518046459385404
1972,31.6233669720754,20.369344887545,7.75412687985188,5.0989755129187,1.91561910282546,0.520456001694618
1973,31.8536120048038,20.5706697384858,7.74199616755395,5.07052392763528,1.88635078924178,0.495219711242097
1974,32.3595875272461,21.0365420623162,8.12361891708578,5.40914043110931,2.10688105615872,0.562964184279479
1975,32.6211032406567,21.0252214435334,8.00588015016157,5.30845068864423,2.0380327831081,0.559708516893076
1976,32.4176637803734,20.8458667141275,7.88919619878135,5.23076239134774,2.01918481652624,0.561933603434702
1977,32.4347852351418,20.8333105222937,7.89922635740608,5.25166485107628,2.04161444220485,0.566205825081495
1978,32.4403455693034,20.8620768734632,7.95260898664963,5.30209499770136,2.07924630296456,0.580556645291427
1979,32.3456078961482,20.8299644089757,8.03240980373329,5.38494671173106,2.15786692680758,0.615324723662051
1980,32.8655054251636,21.1694877032183,8.17671462536805,5.50617878224376,2.23113852749561,0.654814245780515
1981,32.7173317129092,20.9690365634466,8.02607554692798,5.42302868008697,2.22533972400418,0.655962290763348
1982,33.2180189438648,21.395668558262,8.38993807169599,5.73196895084318,2.45028799175089,0.774728677729561
1983,33.6913881394333,21.786377166359,8.59290264894751,5.93650532940477,2.60851928963775,0.871490989397619
1984,33.9471766681248,22.0967873055661,8.8863707222621,6.21666989790069,2.82983151737629,0.980880714308469
1985,34.251769473311,22.3771947905831,9.0945605795137,6.39495753870692,2.91082881898719,0.970474391162551
1986,34.5685788332791,22.5885294274976,9.1292990690664,6.38008688015592,2.86755289459759,0.996948805986818
1987,36.4828824110286,24.4892917278909,10.7462606333059,7.76223312438589,3.72609421456231,1.3010161292536
1988,38.6266739312407,26.9485445272657,13.1654807954394,9.96243372477935,5.21318680192422,1.99031329376248
1989,38.4707296898585,26.6634495825125,12.6114944786894,9.37189131073039,4.73955994678809,1.740459054025
1990,38.8368455898338,27.0539690665309,12.9816472524931,9.71365566960301,4.89843733275509,1.82567689063148
1991,38.3809812518281,26.4297153905971,12.1673794483765,8.90089638681778,4.35712850755825,1.60795011417191
1992,39.8179005377358,27.8805317063871,13.47974486147,10.1117833333071,5.21386835271032,2.01681694243592
1993,39.4816898550762,27.4117001328987,12.8212599201789,9.45196903173243,4.71577998835726,1.73759778843185
1994,39.5968519785061,27.5029648623805,12.8521198534133,9.44807331516836,4.70475494181799,1.73225057274841
1995,40.542,28.461,13.528,9.988,4.983,1.815
1996,41.155,29.16,14.107,10.486,5.325,1.973
1997,41.725,29.852,14.771,11.122,5.806,2.195
1998,42.124,30.358,15.294,11.61,6.2,2.406
1999,42.668,30.968,15.873,12.156,6.635,2.633
2000,43.108,31.511,16.494,12.783,7.127,2.841
2001,42.229,30.399,15.371,11.708,6.258,2.402
2002,42.364,30.362,14.989,11.262,5.935,2.301
2003,42.762,30.655,15.214,11.466,6.109,2.438
2004,43.643,31.708,16.337,12.509,6.905,2.87
2005,44.939,33.123,17.681,13.722,7.761,3.288
2006,45.498,33.589,18.059,14.034,7.918,3.323
2007,45.666,33.844,18.327,14.315,8.161,3.529
2008,45.963,33.777,17.892,13.864,7.816,3.373
2009,45.468,32.808,16.679,12.711,7.039,3.065
2010,46.352,33.732,17.451,13.397,7.516,3.31
2011,46.542,33.913,17.434,13.342,7.365,3.152
