"YEAR","AZ.Phoenix","CA.Los.Angeles","CA.San.Diego","CA.San.Francisco","CO.Denver","DC.Washington","FL.Miami","FL.Tampa","GA.Atlanta","IL.Chicago","MA.Boston","MI.Detroit","MN.Minneapolis","NC.Charlotte","NV.Las.Vegas","NY.New.York","OH.Cleveland","OR.Portland","TX.Dallas","WA.Seattle","Composite.10","Composite.20"
"Jan-87",NA,59.43,54.79,46.96,50.35,64.41,68.55,77.44,NA,54.21,70.27,NA,NA,63.56,66.42,74.68,54.06,41.3,NA,NA,63.1,NA
"Feb-87",NA,59.89,55.22,47.3,50.16,65.13,68.92,78.1,NA,55.23,70.64,NA,NA,64.03,67.57,76.04,54.23,41.44,NA,NA,63.8,NA
"Mar-87",NA,60.4,55.49,47.84,50.38,66,69.39,77.69,NA,54.81,71.05,NA,NA,64.11,67.85,77.24,54.37,41.42,NA,NA,64.43,NA
"Apr-87",NA,61.32,56.05,47.98,50.74,66.64,69.46,77.82,NA,54.8,71.41,NA,NA,64.89,68.19,78.28,54.16,41.27,NA,NA,65.06,NA
"May-87",NA,62.03,56.46,48.31,50.76,67.44,69.75,77.97,NA,55.48,71.88,NA,NA,65.22,67.93,79.68,54.73,41.4,NA,NA,65.82,NA
"Jun-87",NA,62.78,56.79,48.61,50.43,68.52,69.47,78.68,NA,56.06,72.3,NA,NA,65.56,66.8,80.84,54.88,41.43,NA,NA,66.48,NA
"Jul-87",NA,63.46,57.08,49.08,50.2,69.39,69.64,78.99,NA,57.11,72.62,NA,NA,65.72,65.76,81.7,55.29,41.56,NA,NA,67.12,NA
"Aug-87",NA,64.13,57.38,49.54,50.12,70.25,69.8,78.95,NA,57.61,73.16,NA,NA,65.87,65.03,82.22,55.44,41.6,NA,NA,67.71,NA
"Sep-87",NA,64.89,57.84,50.24,50.06,71.4,70.57,79.04,NA,58.27,73.75,NA,NA,66.27,65.28,82.38,55.84,41.54,NA,NA,68.35,NA
"Oct-87",NA,65.77,58.3,50.99,50.15,72.32,71.02,78.87,NA,59.01,74.01,NA,NA,66.59,65.51,83.16,56.13,41.63,NA,NA,68.99,NA
"Nov-87",NA,66.71,58.9,51.64,49.73,73.16,71.42,79.02,NA,59.71,74.42,NA,NA,67.12,66.53,83.68,56.46,41.57,NA,NA,69.57,NA
"Dec-87",NA,67.78,59.4,52.23,49.85,73.59,71.46,79.36,NA,61.08,74.58,NA,NA,67.38,66.49,84.5,56.61,41.8,NA,NA,70.31,NA
"Jan-88",NA,68.78,60.02,52.7,49.55,74.4,71.68,79.5,NA,61.97,74.66,NA,NA,67.78,66.7,84.32,56.99,41.84,NA,NA,70.76,NA
"Feb-88",NA,69.71,60.49,53.2,49.49,75.29,71.83,79.43,NA,63.45,74.59,NA,NA,67.53,66.43,84.49,57.22,41.66,NA,NA,71.24,NA
"Mar-88",NA,70.7,61.28,53.87,49.06,76.39,72.35,79.24,NA,64.51,74.48,NA,NA,67.96,66.76,84.48,57.9,42.24,NA,NA,71.74,NA
"Apr-88",NA,71.48,61.44,54.53,48.74,77.3,72.72,79.66,NA,65.15,74.53,NA,NA,67.93,67.43,84.69,58.07,42.43,NA,NA,72.2,NA
"May-88",NA,72.48,61.85,56.07,48.35,78.38,73.1,79.95,NA,65.57,74.81,NA,NA,67.99,67.58,84.76,58.26,42.74,NA,NA,72.76,NA
"Jun-88",NA,74.39,61.44,57.88,48.17,79.34,73.71,80.18,NA,66.46,75,NA,NA,68.13,67.53,84.6,58.96,42.71,NA,NA,73.5,NA
"Jul-88",NA,76.92,64.59,58.17,48.22,80.78,74.11,80.51,NA,66.55,75.03,NA,NA,68.57,67.65,84.5,59.22,42.84,NA,NA,74.34,NA
"Aug-88",NA,78.67,65.29,58.5,48.25,81.93,74.68,80.71,NA,67.75,74.84,NA,NA,69.42,67.95,84.59,59.63,43.2,NA,NA,75.09,NA
"Sep-88",NA,80.61,66.08,58.94,48.21,83.16,75.25,80.63,NA,68.02,74.71,NA,NA,69.71,68.46,84.58,59.89,43.43,NA,NA,75.82,NA
"Oct-88",NA,82.38,67.18,59.95,48.03,83.67,75.6,80.73,NA,69.03,74.6,NA,NA,69.89,68.46,84.48,60.34,43.74,NA,NA,76.43,NA
"Nov-88",NA,84.41,68.43,61.11,47.75,84.63,75.96,80.61,NA,68.65,74.64,NA,NA,69.64,68.14,84.49,60.73,43.95,NA,NA,77.08,NA
"Dec-88",NA,85.82,69.83,62.47,47.44,85.93,76.22,80.9,NA,68.51,74.7,NA,NA,69.85,67.83,84.38,61.31,44.21,NA,NA,77.68,NA
"Jan-89",67.57,87.47,71.17,63.29,47.47,86.87,76.58,80.56,NA,68.33,74.52,NA,63.49,69.92,68.78,84.48,62,44.48,NA,NA,78.33,NA
"Feb-89",67.62,88.77,72.76,64.06,47.45,87.8,76.99,80.99,NA,69.01,75.17,NA,63.15,70.33,69.64,84.27,62.07,44.8,NA,NA,78.9,NA
"Mar-89",67.92,91.15,74.48,65.56,47.53,88.62,77.18,81.61,NA,70.07,75.55,NA,62.69,70.62,70.48,84.19,62.17,45,NA,NA,79.82,NA
"Apr-89",67.97,93.01,75.81,66.7,47.47,89.33,77.55,81.97,NA,70.65,75.39,NA,63.08,70.88,70,83.88,61.97,45.35,NA,NA,80.44,NA
"May-89",68.07,94.57,77.05,67.7,47.6,89.78,77.57,82.35,NA,70.51,75.04,NA,63.18,71.22,69.79,83.49,62.64,45.61,NA,NA,80.83,NA
"Jun-89",67.7,95.51,78.14,68.78,47.61,90.2,77.81,81.96,NA,70.52,74.52,NA,63.74,71.48,71.55,82.95,62.83,46.02,NA,NA,81.07,NA
"Jul-89",67.34,96.25,79.03,69.59,47.5,90.71,78.04,81.87,NA,70.33,74.18,NA,63.56,71.66,71.77,82.17,63.27,46.26,NA,NA,81.14,NA
"Aug-89",66.95,96.66,80.1,70.72,47.48,91.37,78.26,81.24,NA,70.37,73.44,NA,63.8,71.61,72.39,81.94,63.88,46.59,NA,NA,81.4,NA
"Sep-89",66.82,97.2,81.1,71.59,47.6,91.93,78.25,81.67,NA,70.18,73.01,NA,63.89,71.68,72.79,81.54,64.31,46.93,NA,NA,81.62,NA
"Oct-89",66.56,97.88,82.06,72.43,47.9,92.19,78.38,81.94,NA,70.06,72.72,NA,64.12,71.82,73.46,81.79,64.72,47.35,NA,NA,81.94,NA
"Nov-89",66.49,99,82.71,73.02,48.11,92.38,78.32,82.3,NA,69.87,72.99,NA,64.4,72.29,74.26,81.55,64.57,47.76,NA,NA,82.23,NA
"Dec-89",66.5,99.77,83.57,73.39,48.21,92.84,78.72,82.15,NA,69.68,73,NA,64.39,72.58,74.86,81.34,65.2,48.71,NA,NA,82.47,NA
"Jan-90",66.58,100.47,84.08,73.64,48.24,93.36,79.17,82.43,NA,69.36,73.1,NA,64.22,72.84,75.56,81.04,65.37,49.65,NA,58.89,82.65,NA
"Feb-90",66.7,100.76,84.74,73.82,48.36,93.66,79.67,82.74,NA,68.7,72.87,NA,64.01,73.01,75.64,80.98,65.98,50.57,NA,60.96,82.73,NA
"Mar-90",66.64,100.99,85.13,74.6,48.5,93.61,79.53,83.12,NA,68.9,72.19,NA,64.23,73.16,76.6,80.81,66.3,50.77,NA,62.95,82.76,NA
"Apr-90",66.78,100.99,85.55,75.07,48.52,93.59,79.44,82.75,NA,69.48,71.65,NA,64.47,73.46,77.27,80.21,66.92,51.46,NA,65.46,82.68,NA
"May-90",66.59,100.39,85.74,75.02,48.47,93.11,79.68,82.72,NA,70,70.69,NA,64.6,73.6,77.85,79.55,67.06,52.07,NA,66.55,82.33,NA
"Jun-90",66.6,100.11,85.75,74.59,48.58,92.63,79.86,82.44,NA,70.25,69.99,NA,64.58,74.04,78.73,78.93,67.61,53.39,NA,67.42,81.99,NA
"Jul-90",66.4,99.51,85.59,74.05,48.66,92.23,80.03,82.63,NA,70.66,69.36,NA,64.34,73.92,79.65,78.3,67.92,54.43,NA,67.58,81.57,NA
"Aug-90",66.26,99.05,85.34,73.75,48.67,91.84,79.87,82.43,NA,70.58,68.9,NA,64.08,73.99,80.58,77.55,68.24,55.56,NA,67.85,81.17,NA
"Sep-90",65.94,98.43,85.22,73.48,48.76,91.43,79.67,82.08,NA,70.94,68.6,NA,64.15,73.89,81,76.68,68.38,56.63,NA,67.51,80.77,NA
"Oct-90",65.81,98,84.92,72.91,48.67,91.26,79.44,81.67,NA,70.72,68.08,NA,64.42,73.92,81.55,76.31,68.47,57.01,NA,67.25,80.36,NA
"Nov-90",65.38,97.11,84.65,72.37,48.75,91.01,79.55,81.51,NA,70.96,67.12,NA,64.39,73.5,81.38,75.88,68.68,57.09,NA,66.93,79.91,NA
"Dec-90",65.45,96.55,84.03,71.86,48.73,90.94,79.35,81.78,NA,70.75,66.19,NA,64.54,73.51,81.7,75.62,68.79,56.82,NA,66.77,79.52,NA
"Jan-91",65.28,95.57,83.48,71.94,48.94,89.71,79.02,81.94,69.62,70.84,65.31,58.42,64.62,73.43,81.09,74.74,68.81,56.78,NA,66.26,78.87,NA
"Feb-91",65.48,94.7,82.56,71.13,48.98,89.26,78.72,82.12,69.47,71.1,64.75,58.13,64.54,73.35,82.06,74.11,68.81,57.32,NA,65.61,78.34,NA
"Mar-91",64.79,93.77,81.6,70.61,49.06,88.21,78.73,81.55,69.32,70.94,64.45,58.15,64.41,72.96,82.15,73.58,69.06,58.63,NA,65.13,77.71,NA
"Apr-91",64.63,93.74,81.21,69.91,49.31,87.92,78.74,81.55,69.72,71.24,64.03,58.22,64.29,73.18,82.24,73.05,69.5,58.77,NA,65.45,77.45,NA
"May-91",64.51,93.91,81.53,70.01,49.55,88.65,78.24,81.28,69.8,71.4,64.09,58.51,64.63,73.37,82.35,73.09,69.89,59.07,NA,65.75,77.6,NA
"Jun-91",64.93,94.06,81.89,70.28,49.89,88.94,78.52,81.66,70.05,71.32,64.06,58.81,64.83,73.43,82.27,73.46,70.18,59.33,NA,66.07,77.81,NA
"Jul-91",65.32,94.28,82.1,70.66,50.33,88.99,78.63,81.72,69.91,71.58,64.01,59.04,65.39,73.37,83.34,73.91,70.55,59.58,NA,66.25,78.09,NA
"Aug-91",65.56,94.26,81.94,70.83,50.51,88.61,79.39,81.89,70.09,71.79,64.1,59.19,65.68,73.23,83.64,74.24,70.65,59.72,NA,66.34,78.25,NA
"Sep-91",65.74,94.09,81.66,70.82,50.65,88.49,79.07,81.52,70.04,71.97,64.14,59.29,66,73.2,84.86,74.39,70.97,59.81,NA,66.41,78.27,NA
"Oct-91",65.72,93.88,81.66,70.71,50.83,88.42,79.1,81.4,70.14,72.18,64.11,59.54,65.64,73.41,82.99,74.56,71.07,60.29,NA,66.17,78.24,NA
"Nov-91",66.08,93.47,81.45,70.53,51.04,88.67,79.07,81.58,70.12,72.37,63.86,59.63,65.67,73.68,81.58,74.62,71.22,60.38,NA,66.18,78.15,NA
"Dec-91",66.04,93.14,81.34,70.45,51.32,88.47,78.98,81.81,70.01,73.01,63.81,59.76,65.87,73.83,82.83,74.77,71.25,61.22,NA,66.08,78.15,NA
"Jan-92",66.04,92.79,80.86,70.4,51.52,88.57,79.03,81.68,70.07,73.43,63.56,59.75,66.09,73.67,83.04,74.76,71.69,61.67,NA,66.32,78.07,NA
"Feb-92",66.07,92.57,80.57,70.34,52.28,88.22,78.66,80.76,70.17,73.72,63.56,59.84,66.54,73.66,83.5,74.82,72.06,61.99,NA,66.48,78.08,NA
"Mar-92",66.11,91.91,80.69,70.19,53.07,88.64,78.93,80.42,70.23,73.89,63.81,60.08,66.77,73.51,83.12,74.96,72.64,62.17,NA,66.81,78.01,NA
"Apr-92",66.09,91.44,80.68,69.69,53.58,88.84,79.17,80.72,70.22,73.23,64.4,60.53,66.94,73.55,83.01,75.17,72.55,62.12,NA,67.24,77.95,NA
"May-92",66.14,90.87,80.45,69.73,53.8,88.98,79.66,81.04,70.39,73.42,64.35,60.78,66.97,73.55,83.21,75.15,72.64,62.37,NA,67.3,77.89,NA
"Jun-92",66.13,90.17,79.91,69.49,53.95,88.87,79.79,81.13,70.5,74.13,64.15,60.84,67.2,73.54,83.13,75.06,72.77,62.47,NA,67.32,77.7,NA
"Jul-92",66.1,89.49,79.57,69.27,54.14,88.5,78.06,80.63,71.08,74.9,63.94,60.9,67.26,73.87,82.77,74.96,72.86,62.59,NA,67.32,77.43,NA
"Aug-92",66.17,88.93,79.27,68.96,54.39,88.48,77.82,80.39,71.13,74.98,63.97,61.05,67.39,74.05,82.4,75.11,73.17,63.06,NA,67.11,77.31,NA
"Sep-92",66.24,88.32,79.04,68.81,54.72,88.41,77.46,80.34,71.29,75.23,63.9,61.25,67.41,74.42,82.47,75.09,73.46,63.49,NA,66.9,77.15,NA
"Oct-92",66.43,87.36,78.16,68.83,54.82,88.59,79.33,81.31,71.03,75.55,64.03,61.24,67.7,74.25,82.96,75.05,73.79,63.94,NA,67.43,77.03,NA
