"Region","Subregion","Country","Homicide","Year","value"
"Africa","Eastern Africa","Mauritius","Rate","1995",2.19857919018414
"Africa","Eastern Africa","Mauritius","Count","1995",25
"Africa","Northern Africa","Egypt","Rate","1995",NA
"Africa","Northern Africa","Egypt","Count","1995",NA
"Africa","Northern Africa","Morocco","Rate","1995",NA
"Africa","Northern Africa","Morocco","Count","1995",NA
"Africa","Southern Africa","South Africa","Rate","1995",64.9165265781694
"Africa","Southern Africa","South Africa","Count","1995",26877
"Africa","Western Africa","Nigeria","Rate","1995",1.44071671593524
"Africa","Western Africa","Nigeria","Count","1995",1585
"Americas","Caribbean","Bahamas","Rate","1995",15
"Americas","Caribbean","Bahamas","Count","1995",41.9661
"Americas","Caribbean","Barbados","Rate","1995",6.1
"Americas","Caribbean","Barbados","Count","1995",16
"Americas","Caribbean","Cuba","Rate","1995",7.8
"Americas","Caribbean","Cuba","Count","1995",850.26201
"Americas","Caribbean","Dominica","Rate","1995",NA
"Americas","Caribbean","Dominica","Count","1995",NA
"Americas","Caribbean","Dominican Republic","Rate","1995",12.720574702175
"Americas","Caribbean","Dominican Republic","Count","1995",1007
"Americas","Caribbean","Grenada","Rate","1995",NA
"Americas","Caribbean","Grenada","Count","1995",NA
"Americas","Caribbean","Jamaica","Rate","1995",31.687789151076
"Americas","Caribbean","Jamaica","Count","1995",780
"Americas","Caribbean","Puerto Rico","Rate","1995",23.3411443320191
"Americas","Caribbean","Puerto Rico","Count","1995",864
"Americas","Caribbean","Saint Kitts and Nevis","Rate","1995",9.27622272210756
"Americas","Caribbean","Saint Kitts and Nevis","Count","1995",4
"Americas","Caribbean","Saint Lucia","Rate","1995",NA
"Americas","Caribbean","Saint Lucia","Count","1995",NA
"Americas","Caribbean","Saint Vincent and the Grenadines","Rate","1995",18.5036128304051
"Americas","Caribbean","Saint Vincent and the Grenadines","Count","1995",20
"Americas","Caribbean","Trinidad and Tobago","Rate","1995",10.7
"Americas","Caribbean","Trinidad and Tobago","Count","1995",134.974401
"Americas","Central America","Belize","Rate","1995",NA
"Americas","Central America","Belize","Count","1995",NA
"Americas","Central America","Costa Rica","Rate","1995",5.30424760689068
"Americas","Central America","Costa Rica","Count","1995",184
"Americas","Central America","El Salvador","Rate","1995",139.132078848139
"Americas","Central America","El Salvador","Count","1995",7977
"Americas","Central America","Guatemala","Rate","1995",32.5489794746735
"Americas","Central America","Guatemala","Count","1995",3260
"Americas","Central America","Honduras","Rate","1995",NA
"Americas","Central America","Honduras","Count","1995",NA
"Americas","Central America","Mexico","Rate","1995",18.4
"Americas","Central America","Mexico","Count","1995",16978.185816
"Americas","Central America","Nicaragua","Rate","1995",15.2467953694598
"Americas","Central America","Nicaragua","Count","1995",707
"Americas","Central America","Panama","Rate","1995",14.0833179549976
"Americas","Central America","Panama","Count","1995",377
"Americas","Northern America","Bermuda","Rate","1995",NA
"Americas","Northern America","Bermuda","Count","1995",NA
"Americas","Northern America","Canada","Rate","1995",2.00668266279418
"Americas","Northern America","Canada","Count","1995",588
"Americas","Northern America","United States of America","Rate","1995",8.11268340776424
"Americas","Northern America","United States of America","Count","1995",21606
"Americas","South America","Argentina","Rate","1995",7.81232965219497
"Americas","South America","Argentina","Count","1995",2723
"Americas","South America","Bolivia (Plurinational State of)","Rate","1995",NA
"Americas","South America","Bolivia (Plurinational State of)","Count","1995",NA
"Americas","South America","Brazil","Rate","1995",25.7
"Americas","South America","Brazil","Count","1995",41594.977634
"Americas","South America","Chile","Rate","1995",3.2
"Americas","South America","Chile","Count","1995",461.101312
"Americas","South America","Colombia","Rate","1995",69.6726338112749
"Americas","South America","Colombia","Count","1995",25398
"Americas","South America","Ecuador","Rate","1995",13.4
"Americas","South America","Ecuador","Count","1995",1525.523804
"Americas","South America","Guyana","Rate","1995",14.9729593848174
"Americas","South America","Guyana","Count","1995",109
"Americas","South America","Peru","Rate","1995",5.5
"Americas","South America","Peru","Count","1995",1310.493965
"Americas","South America","Suriname","Rate","1995",NA
"Americas","South America","Suriname","Count","1995",NA
"Americas","South America","Uruguay","Rate","1995",NA
"Americas","South America","Uruguay","Count","1995",NA
"Americas","South America","Venezuela (Bolivarian Republic of)","Rate","1995",20.335913345501
"Americas","South America","Venezuela (Bolivarian Republic of)","Count","1995",4481
"Asia","Central Asia","Kazakhstan","Rate","1995",15.3649540781269
"Asia","Central Asia","Kazakhstan","Count","1995",2447
"Asia","Central Asia","Kyrgyzstan","Rate","1995",11.6503543558715
"Asia","Central Asia","Kyrgyzstan","Count","1995",535
"Asia","Central Asia","Tajikistan","Rate","1995",7.53194062268198
"Asia","Central Asia","Tajikistan","Count","1995",435
"Asia","Central Asia","Turkmenistan","Rate","1995",7.92739272351308
"Asia","Central Asia","Turkmenistan","Count","1995",332
"Asia","Central Asia","Uzbekistan","Rate","1995",5.04813464007738
"Asia","Central Asia","Uzbekistan","Count","1995",1157
"Asia","Eastern Asia","China","Rate","1995",NA
"Asia","Eastern Asia","China","Count","1995",NA
"Asia","Eastern Asia","Taiwan Province of China","Rate","1995",8.26410255053616
"Asia","Eastern Asia","Taiwan Province of China","Count","1995",1765
"Asia","Eastern Asia","Japan","Rate","1995",0.609755846775139
"Asia","Eastern Asia","Japan","Count","1995",759.0652
"Asia","Eastern Asia","Republic of Korea","Rate","1995",NA
"Asia","Eastern Asia","Republic of Korea","Count","1995",NA
"Asia","South-Eastern Asia","Cambodia","Rate","1995",3.5544070035964
"Asia","South-Eastern Asia","Cambodia","Count","1995",397
"Asia","South-Eastern Asia","Myanmar","Rate","1995",3.82833499065666
"Asia","South-Eastern Asia","Myanmar","Count","1995",1613
